date YYY-MM-DD,rigidity_min GV,rigidity_max GV,electron_flux m^-2sr^-1s^-1GV^-1,electron_flux_error_statistical m^-2sr^-1s^-1GV^-1,electron_flux_error_timedependent m^-2sr^-1s^-1GV^-1
1.0,1.71,23.83,0.82,0.48,0.69
1.71,2.97,10.65,0.24,0.16,0.23
2.97,4.02,4.729,0.126,0.047,0.078
4.02,5.9,1.977,0.05,0.02,0.029
5.9,7.09,0.9085,0.0356,0.0091,0.0135
7.09,8.48,0.4848,0.0219,0.0048,0.0072
8.48,11.0,0.2431,0.0107,0.0024,0.0036
11.0,16.6,0.08136,0.00374,0.00081,0.00121
16.6,22.8,0.02494,0.00172,0.00025,0.00037
22.8,41.9,0.005776,0.00042,5.8e-05,8.6e-05
1.0,1.71,26.51,0.76,0.53,0.77
1.71,2.97,12.14,0.12,0.18,0.26
2.97,4.02,5.218,0.067,0.052,0.086
4.02,5.9,2.144,0.025,0.021,0.032
5.9,7.09,0.9646,0.018,0.0096,0.0143
7.09,8.48,0.5576,0.0119,0.0056,0.0083
8.48,11.0,0.2673,0.0059,0.0027,0.004
11.0,16.6,0.09194,0.00219,0.00092,0.00137
16.6,22.8,0.02762,0.001,0.00028,0.00041
22.8,41.9,0.005968,0.000217,6e-05,8.9e-05
1.0,1.71,25.65,1.21,0.51,0.74
1.71,2.97,11.96,0.14,0.18,0.25
2.97,4.02,5.167,0.078,0.052,0.085
4.02,5.9,2.16,0.028,0.022,0.032
5.9,7.09,0.9373,0.0184,0.0094,0.0139
7.09,8.48,0.5488,0.0119,0.0055,0.0082
8.48,11.0,0.2666,0.0059,0.0027,0.004
11.0,16.6,0.09731,0.00223,0.00097,0.00145
16.6,22.8,0.02786,0.00098,0.00028,0.00041
22.8,41.9,0.006113,0.000211,6.1e-05,9.1e-05
1.0,1.71,26.56,0.82,0.53,0.77
1.71,2.97,12.21,0.1,0.18,0.26
2.97,4.02,5.128,0.053,0.051,0.084
4.02,5.9,2.215,0.022,0.022,0.033
5.9,7.09,0.9621,0.0156,0.0096,0.0143
7.09,8.48,0.546,0.0102,0.0055,0.0081
8.48,11.0,0.2807,0.0053,0.0028,0.0042
11.0,16.6,0.09324,0.00194,0.00093,0.00139
16.6,22.8,0.02871,0.0009,0.00029,0.00043
22.8,41.9,0.006442,0.000201,6.4e-05,9.6e-05
1.0,1.71,26.19,1.11,0.52,0.76
1.71,2.97,11.51,0.28,0.17,0.24
2.97,4.02,4.81,0.132,0.048,0.079
4.02,5.9,2.086,0.052,0.021,0.031
5.9,7.09,0.8472,0.0342,0.0085,0.0126
7.09,8.48,0.5318,0.0231,0.0053,0.0079
8.48,11.0,0.255,0.011,0.0026,0.0038
11.0,16.6,0.08446,0.00379,0.00084,0.00126
16.6,22.8,0.02812,0.00179,0.00028,0.00042
22.8,41.9,0.005311,0.000395,5.3e-05,7.9e-05
1.0,1.71,24.96,0.83,0.5,0.72
1.71,2.97,12.39,0.38,0.19,0.26
2.97,4.02,5.049,0.186,0.05,0.083
4.02,5.9,2.247,0.058,0.022,0.033
5.9,7.09,0.9771,0.0308,0.0098,0.0145
7.09,8.48,0.5791,0.0198,0.0058,0.0086
8.48,11.0,0.2936,0.0099,0.0029,0.0044
11.0,16.6,0.09204,0.00348,0.00092,0.00137
16.6,22.8,0.02708,0.00155,0.00027,0.0004
22.8,41.9,0.006805,0.000361,6.8e-05,0.000101
1.0,1.71,26.23,0.72,0.52,0.76
1.71,2.97,12.55,0.11,0.19,0.27
2.97,4.02,5.385,0.063,0.054,0.088
4.02,5.9,2.242,0.025,0.022,0.033
5.9,7.09,0.9791,0.017,0.0098,0.0146
7.09,8.48,0.5558,0.0109,0.0056,0.0083
8.48,11.0,0.2941,0.0056,0.0029,0.0044
11.0,16.6,0.09625,0.00203,0.00096,0.00143
16.6,22.8,0.02843,0.00091,0.00028,0.00042
22.8,41.9,0.006266,0.000197,6.3e-05,9.3e-05
1.0,1.71,25.63,1.11,0.51,0.74
1.71,2.97,12.62,0.14,0.19,0.27
2.97,4.02,5.225,0.074,0.052,0.086
4.02,5.9,2.188,0.03,0.022,0.033
5.9,7.09,0.9691,0.0206,0.0097,0.0144
7.09,8.48,0.5372,0.0132,0.0054,0.008
8.48,11.0,0.2791,0.0068,0.0028,0.0041
11.0,16.6,0.09922,0.00256,0.00099,0.00148
16.6,22.8,0.02831,0.00112,0.00028,0.00042
22.8,41.9,0.006909,0.000266,6.9e-05,0.000103
1.0,1.71,23.4,0.83,0.47,0.68
1.71,2.97,11.4,0.11,0.17,0.24
2.97,4.02,4.936,0.058,0.049,0.081
4.02,5.9,2.124,0.022,0.021,0.032
5.9,7.09,0.9535,0.0156,0.0095,0.0142
7.09,8.48,0.5255,0.001,0.0053,0.0078
8.48,11.0,0.2664,0.0051,0.0027,0.004
11.0,16.6,0.09124,0.0019,0.00091,0.00136
16.6,22.8,0.02967,0.0009,0.0003,0.00044
22.8,41.9,0.006738,0.00011,6.7e-05,0.0001
