date YYYY-MM-DD,rigidity_min GV,rigidity_max GV,positron_flux m^-2sr^-1s^-1GV^-1,positron_flux_error_statistical m^-2sr^-1s^-1GV^-1,positron_flux_error_timedependent m^-2sr^-1s^-1GV^-1
1.0,1.33,0.847,0.3148,0.01271,0.02456385
1.33,1.71,1.5,0.2569,0.0195,0.04049321
1.71,2.15,1.143,0.1691,0.01257,0.02743546
2.15,2.97,0.585,0.0756,0.00585,0.0117001
2.97,4.02,0.2604,0.03681,0.002604,0.00390567
4.02,5.9,0.1146,0.01583,0.001146,0.001718349
5.9,7.09,0.04856,0.01114,0.0004856,0.0007284498
7.09,8.48,0.02951,0.007616,0.0002951,0.0004426014
8.48,11.0,0.01208,0.003411,0.0001208,0.0001812062
11.0,16.6,0.00475,0.001375,4.75e-05,7.125027e-05
16.6,22.8,0.001175,0.0007051,1.175e-05,1.76317e-05
22.8,41.9,0.0001641,9.325e-05,1.641e-06,2.460988e-06
1.0,1.33,2.473,0.6276,0.03709,0.07171192
1.33,1.71,1.181,0.2155,0.01536,0.03189508
1.71,2.15,0.9094,0.1579,0.01,0.02182612
2.15,2.97,0.5482,0.07037,0.005482,0.01096348
2.97,4.02,0.2756,0.03597,0.002756,0.004134026
4.02,5.9,0.1078,0.0132,0.001078,0.001616283
5.9,7.09,0.05082,0.009881,0.0005082,0.0007623233
7.09,8.48,0.02056,0.005657,0.0002056,0.0003083427
8.48,11.0,0.0111,0.002932,0.000111,0.000166523
11.0,16.6,0.004026,0.001073,4.026e-05,6.038763e-05
16.6,22.8,0.001664,0.0005406,1.664e-05,2.495926e-05
22.8,41.9,0.0003141,0.0001432,3.141e-06,4.710849e-06
1.0,1.33,1.519,0.3928,0.02278,0.04404535
1.33,1.71,1.841,0.2473,0.02394,0.04971306
1.71,2.15,1.03,0.1436,0.01133,0.02472975
2.15,2.97,0.7377,0.07702,0.007377,0.01475315
2.97,4.02,0.2392,0.03364,0.002392,0.003587789
4.02,5.9,0.1217,0.01703,0.001217,0.001825784
5.9,7.09,0.04531,0.01186,0.0004531,0.0006796907
7.09,8.48,0.0176,0.006538,0.000176,0.0002639731
8.48,11.0,0.01893,0.004852,0.0001893,0.0002839764
11.0,16.6,0.003438,0.001271,3.438e-05,5.157252e-05
16.6,22.8,0.00159,0.0007642,1.59e-05,2.385431e-05
22.8,41.9,0.0001666,0.0001106,1.666e-06,2.498647e-06
1.0,1.33,1.066,0.32,0.01599,0.03091621
1.33,1.71,1.497,0.2373,0.01946,0.0404107
1.71,2.15,1.293,0.1745,0.01422,0.03102563
2.15,2.97,0.4541,0.06585,0.004541,0.009081662
2.97,4.02,0.2944,0.03768,0.002944,0.004416064
4.02,5.9,0.1424,0.01625,0.001424,0.002135964
5.9,7.09,0.03693,0.008883,0.0003693,0.0005539971
7.09,8.48,0.0275,0.006487,0.000275,0.0004124939
8.48,11.0,0.01163,0.003101,0.0001163,0.0001744635
11.0,16.6,0.004804,0.001238,4.804e-05,7.206647e-05
16.6,22.8,0.002156,0.0006339,2.156e-05,3.233622e-05
22.8,41.9,0.0005772,0.0001709,5.772e-06,8.658403e-06
1.0,1.33,1.718,0.3971,0.02578,0.04983546
1.33,1.71,1.726,0.2224,0.02244,0.04659724
1.71,2.15,1.291,0.1505,0.01421,0.03099593
2.15,2.97,0.6114,0.06461,0.006114,0.012228
2.97,4.02,0.2473,0.02923,0.002473,0.003710086
4.02,5.9,0.09847,0.01138,0.0009847,0.001477084
5.9,7.09,0.0535,0.008875,0.000535,0.000802556
7.09,8.48,0.02649,0.005568,0.0002649,0.0003972973
8.48,11.0,0.01837,0.003251,0.0001837,0.0002756163
11.0,16.6,0.005234,0.001077,5.234e-05,7.851383e-05
16.6,22.8,0.002184,0.000538,2.184e-05,3.275951e-05
22.8,41.9,0.000451,0.0001232,4.51e-06,6.765613e-06
1.0,1.33,1.774,0.4824,0.02662,0.05145875
1.33,1.71,2.376,0.2961,0.03089,0.06415095
1.71,2.15,1.16,0.1677,0.01276,0.02784354
2.15,2.97,0.613,0.07451,0.00613,0.01226026
2.97,4.02,0.2759,0.03583,0.002759,0.004139145
4.02,5.9,0.1242,0.01373,0.001242,0.001863199
5.9,7.09,0.05446,0.009297,0.0005446,0.0008168439
7.09,8.48,0.02971,0.005969,0.0002971,0.0004456378
8.48,11.0,0.0124,0.002774,0.000124,0.0001859709
11.0,16.6,0.005218,0.001105,5.218e-05,7.826715e-05
16.6,22.8,0.001612,0.0004588,1.612e-05,2.417768e-05
22.8,41.9,0.0005154,0.0001373,5.154e-06,7.73132e-06
1.0,1.33,1.889,0.5443,0.02833,0.05476681
1.33,1.71,1.939,0.2631,0.02521,0.05235039
1.71,2.15,1.126,0.1526,0.01238,0.02702042
2.15,2.97,0.611,0.06633,0.00611,0.01221983
2.97,4.02,0.2627,0.03255,0.002627,0.003939905
4.02,5.9,0.105,0.01348,0.00105,0.001575735
5.9,7.09,0.04994,0.009776,0.0004994,0.0007491633
7.09,8.48,0.02333,0.005904,0.0002333,0.0003499421
8.48,11.0,0.01979,0.003865,0.0001979,0.0002968665
11.0,16.6,0.004593,0.001164,4.593e-05,6.889977e-05
16.6,22.8,0.001886,0.0006095,1.886e-05,2.82925e-05
22.8,41.9,0.0001909,9.878e-05,1.909e-06,2.864121e-06
1.0,1.33,3.814,0.865,0.05722,0.1106183
1.33,1.71,1.477,0.2091,0.0192,0.03987659
1.71,2.15,1.329,0.1424,0.01462,0.03190175
2.15,2.97,0.525,0.05555,0.00525,0.0105002
2.97,4.02,0.2476,0.02654,0.002476,0.003714099
4.02,5.9,0.1115,0.01038,0.001115,0.001672424
5.9,7.09,0.03481,0.006339,0.0003481,0.000522089
7.09,8.48,0.02828,0.004925,0.0002828,0.0004242692
8.48,11.0,0.013,0.002411,0.00013,0.0001949781
11.0,16.6,0.005034,0.0009349,5.034e-05,7.550862e-05
16.6,22.8,0.001589,0.0004078,1.589e-05,2.383962e-05
22.8,41.9,0.0007198,0.0001389,7.198e-06,1.079672e-05
1.0,1.33,2.278,0.6783,0.03418,0.06607547
1.33,1.71,1.883,0.2575,0.02448,0.05083575
1.71,2.15,0.9897,0.1416,0.01089,0.02375206
2.15,2.97,0.5152,0.06094,0.005152,0.01030312
2.97,4.02,0.2233,0.02785,0.002233,0.003349641
4.02,5.9,0.1279,0.01328,0.001279,0.001918617
5.9,7.09,0.03777,0.007475,0.0003777,0.0005665484
7.09,8.48,0.02567,0.005349,0.0002567,0.0003851204
8.48,11.0,0.02029,0.003374,0.0002029,0.0003043827
11.0,16.6,0.004081,0.0009435,4.081e-05,6.121228e-05
16.6,22.8,0.00141,0.0004278,1.41e-05,2.114776e-05
22.8,41.9,0.0004241,0.0001239,4.241e-06,6.360805e-06
1.0,1.33,2.201,0.3877,0.03302,0.06384191
1.33,1.71,1.142,0.1811,0.01484,0.03082704
1.71,2.15,0.964,0.1118,0.0106,0.02313704
2.15,2.97,0.4423,0.04715,0.004423,0.00884519
2.97,4.02,0.2363,0.02436,0.002363,0.003544947
4.02,5.9,0.1291,0.01104,0.001291,0.001936635
5.9,7.09,0.05265,0.007246,0.0005265,0.0007897493
7.09,8.48,0.02103,0.003978,0.0002103,0.0003155196
8.48,11.0,0.01582,0.002477,0.0001582,0.0002372617
11.0,16.6,0.005678,0.0009376,5.678e-05,8.517488e-05
16.6,22.8,0.001718,0.0003913,1.718e-05,2.576531e-05
22.8,41.9,0.0004299,9.989e-05,4.299e-06,6.448746e-06
1.0,1.33,2.107,0.3449,0.03161,0.06110837
1.33,1.71,1.835,0.2052,0.02386,0.04954716
1.71,2.15,1.262,0.1301,0.01388,0.03027648
2.15,2.97,0.5412,0.04836,0.005412,0.01082433
2.97,4.02,0.2787,0.02453,0.002787,0.004179782
4.02,5.9,0.1052,0.009142,0.001052,0.001578503
5.9,7.09,0.04454,0.006159,0.0004454,0.0006681333
7.09,8.48,0.02023,0.003656,0.0002023,0.0003034624
8.48,11.0,0.01646,0.002307,0.0001646,0.0002468266
