begin date YYYY-MM-DD,end date YYYY-MM-DD,rigidity_min GV,rigidity_max GV,6Li_flux m^-2sr^-1s^-1GV^-1,6Li_flux_error_statistical m^-2sr^-1s^-1GV^-1,6Li_flux_error_timedependent m^-2sr^-1s^-1GV^-1,6Li_flux_error_total_systematic m^-2sr^-1s^-1GV^-1,7Li_flux m^-2sr^-1s^-1GV^-1,7Li_flux_error_statistical m^-2sr^-1s^-1GV^-1,7Li_flux_error_timedependent m^-2sr^-1s^-1GV^-1,7Li_flux_error_total_systematic m^-2sr^-1s^-1GV^-1,7Li_to_6Li_ratio,7Li_to_6Li_ratio_error_statistical,7Li_to_6Li_ratio_error_total_systematic
2011-05-20,2011-08-30,1.92,2.15,0.1422,0.0088,0.0018,0.005,0.1256,0.0102,0.0016,0.0048,0.883,0.09,0.023
2011-05-20,2011-08-30,2.15,2.4,0.1371,0.0077,0.0017,0.0046,0.1404,0.0087,0.0018,0.0049,1.024,0.086,0.023
2011-05-20,2011-08-30,2.4,2.67,0.1374,0.0068,0.0017,0.0044,0.148,0.0077,0.0018,0.0049,1.077,0.077,0.023
2011-05-20,2011-08-30,2.67,2.97,0.1288,0.0059,0.0016,0.0041,0.1315,0.0065,0.0016,0.0043,1.021,0.069,0.022
2011-05-20,2011-08-30,2.97,3.29,0.1246,0.0052,0.0015,0.004,0.1302,0.0059,0.0016,0.0042,1.046,0.064,0.022
2011-05-20,2011-08-30,3.29,3.64,0.1092,0.0044,0.0013,0.0036,0.1205,0.0051,0.0014,0.0039,1.103,0.064,0.025
2011-05-20,2011-08-30,3.64,4.02,0.09111,0.00372,0.00106,0.00315,0.09474,0.00421,0.00111,0.00307,1.04,0.063,0.027
2011-05-20,2011-08-30,4.02,4.43,0.08213,0.0095,0.00103,0.00264,0.08725,0.01157,0.0011,0.00281,1.062,0.187,0.022
2011-05-20,2011-08-30,4.43,4.88,0.06691,0.00754,0.00083,0.00215,0.05826,0.00987,0.00073,0.00187,0.871,0.177,0.018
2011-05-20,2011-08-30,4.88,5.37,0.05298,0.00627,0.00065,0.0017,0.05864,0.00757,0.00073,0.00189,1.107,0.194,0.023
2011-05-20,2011-08-30,5.37,5.9,0.04678,0.00514,0.00058,0.0015,0.06161,0.00615,0.00076,0.00198,1.317,0.196,0.028
2011-05-20,2011-08-30,5.9,6.47,0.03724,0.00424,0.00046,0.0012,0.05508,0.00545,0.00068,0.00177,1.479,0.223,0.031
2011-05-20,2011-08-30,6.47,7.09,0.02905,0.0032,0.00035,0.00093,0.03415,0.00428,0.00042,0.0011,1.175,0.196,0.025
2011-05-20,2011-08-30,7.09,7.76,0.02591,0.0028,0.00032,0.00083,0.0309,0.00344,0.00038,0.00099,1.192,0.185,0.026
2011-05-20,2011-08-30,7.76,8.48,0.02193,0.00098,0.00024,0.00069,0.02523,0.00131,0.00028,0.0008,1.15,0.079,0.024
2011-05-20,2011-08-30,8.48,9.26,0.0156,0.00076,0.00017,0.00049,0.01974,0.00099,0.00022,0.00062,1.266,0.088,0.027
