bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,boron_flux m^-2sr^-1s^-1GV^-1,boron_flux_error_statistical m^-2sr^-1s^-1GV^-1,boron_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,boron_flux_error_time_independent m^-2sr^-1s^-1GV^-1,boron_to_helium_ratio,boron_to_helium_ratio_error_statistical,boron_to_helium_ratio_error_time_dependent,boron_to_helium_ratio_error_time_independent
2426,1.92,2.15,0.575,0.0271,0.0124,0.0181,0.007649,0.000362,0.000172,0.000267
2426,2.15,2.4,0.5181,0.0224,0.0095,0.0147,0.007608,0.000329,0.000146,0.000237
2426,2.4,2.67,0.4534,0.0181,0.0049,0.0123,0.007422,0.000296,9e-05,0.000219
2426,2.67,2.97,0.4381,0.0158,0.0044,0.012,0.008124,0.000294,9.3e-05,0.000239
2426,2.97,3.29,0.4116,0.0139,0.004,0.0109,0.008768,0.000297,9.8e-05,0.000251
2426,3.29,3.64,0.3224,0.011,0.0029,0.0083,0.007982,0.000274,8.3e-05,0.000222
2426,3.64,4.02,0.2921,0.0095,0.0025,0.0073,0.008544,0.000279,8.6e-05,0.000232
2426,4.02,4.43,0.2481,0.0079,0.0021,0.0061,0.008571,0.000272,8.6e-05,0.000231
2426,4.43,4.88,0.2058,0.0062,0.0018,0.005,0.008553,0.000257,8.6e-05,0.000229
2426,4.88,5.37,0.175,0.0051,0.0016,0.0042,0.008714,0.000253,8.9e-05,0.000231
2426,5.37,5.9,0.1405,0.0041,0.0012,0.0034,0.008492,0.000251,8.7e-05,0.000224
2426,5.9,6.47,0.1162,0.0035,0.001,0.0028,0.008562,0.000255,8.7e-05,0.000224
2426,6.47,7.09,0.08734,0.00269,0.00078,0.00206,0.007862,0.000242,8.1e-05,0.000205
2426,7.09,7.76,0.07896,0.0023,0.00071,0.00185,0.008723,0.000255,9e-05,0.000227
2426,7.76,8.48,0.06038,0.00183,0.00055,0.00141,0.008182,0.00025,8.5e-05,0.000212
2426,8.48,9.26,0.04828,0.00152,0.00045,0.00112,0.008067,0.000254,8.5e-05,0.000208
2426,9.26,10.1,0.03891,0.00128,0.00037,0.0009,0.008006,0.000264,8.5e-05,0.000206
2426,10.1,11.0,0.03119,0.00108,0.0003,0.00072,0.007878,0.000274,8.5e-05,0.000202
2426,11.0,12.0,0.02458,0.00089,0.00024,0.00056,0.007681,0.000281,8.3e-05,0.000196
2426,12.0,13.0,0.02014,0.00079,0.0002,0.00046,0.007695,0.000304,8.4e-05,0.000197
2426,13.0,14.1,0.01609,0.00066,0.00016,0.00037,0.00755,0.000312,8.2e-05,0.000193
2426,14.1,15.3,0.01308,0.00056,0.00013,0.0003,0.007515,0.000323,8.1e-05,0.000192
2426,15.3,16.6,0.01135,0.00049,0.00011,0.00026,0.008026,0.000346,8.8e-05,0.000205
2426,16.6,18.0,0.008107,0.000384,8.3e-05,0.000184,0.007043,0.000335,8e-05,0.00018
2426,18.0,19.5,0.007071,0.000331,7.1e-05,0.00016,0.00757,0.000356,8.5e-05,0.000194
2426,19.5,21.1,0.005254,0.000263,5.1e-05,0.000119,0.006929,0.000348,7.6e-05,0.000178
2426,21.1,22.8,0.004025,0.000213,4e-05,9.2e-05,0.006486,0.000344,7.1e-05,0.000167
2426,22.8,24.7,0.003161,0.000171,3.1e-05,7.2e-05,0.0063,0.000342,7e-05,0.000163
2426,24.7,26.7,0.002682,0.000148,2.7e-05,6.2e-05,0.006554,0.000362,7.3e-05,0.000171
2426,26.7,28.8,0.002164,0.000126,2.2e-05,5e-05,0.006486,0.000379,7.3e-05,0.00017
2426,28.8,31.1,0.001801,0.000108,1.8e-05,4.2e-05,0.006615,0.000398,7.5e-05,0.000174
2426,31.1,33.5,0.00145,9.4e-05,1.5e-05,3.4e-05,0.006567,0.000426,7.5e-05,0.000174
2426,33.5,36.1,0.00104,7.6e-05,1.1e-05,2.5e-05,0.005717,0.000419,6.6e-05,0.000153
2426,36.1,38.9,0.0009286,6.91e-05,9.7e-06,2.21e-05,0.006255,0.000467,7.3e-05,0.000169
2426,38.9,41.9,0.0007686,6.07e-05,8.2e-06,1.84e-05,0.006351,0.000503,7.4e-05,0.000173
2426,41.9,45.1,0.0005289,4.87e-05,5.7e-06,1.28e-05,0.005322,0.000491,6.3e-05,0.000146
2426,45.1,48.5,0.000479,4.49e-05,5.2e-06,1.17e-05,0.005863,0.000551,7e-05,0.000162
2426,48.5,52.2,0.0004195,4.03e-05,4.6e-06,1.03e-05,0.006345,0.000611,7.6e-05,0.000177
2426,52.2,56.1,0.0002656,3.12e-05,2.9e-06,6.6e-06,0.004905,0.000577,5.9e-05,0.000138
2426,56.1,60.3,0.0001937,2.56e-05,2.1e-06,4.8e-06,0.004425,0.000587,5.3e-05,0.000126
2427,1.92,2.15,0.5239,0.0196,0.0059,0.0165,0.007565,0.000284,9.8e-05,0.000264
2427,2.15,2.4,0.4984,0.0168,0.0043,0.0141,0.00788,0.000267,8.3e-05,0.000245
2427,2.4,2.67,0.4581,0.014,0.0032,0.0124,0.008037,0.000246,7.1e-05,0.000237
2427,2.67,2.97,0.401,0.0117,0.0032,0.0109,0.00792,0.000232,7.5e-05,0.000233
2427,2.97,3.29,0.3773,0.0102,0.0032,0.01,0.008521,0.000231,8.5e-05,0.000244
2427,3.29,3.64,0.3413,0.0087,0.0024,0.0087,0.008899,0.000228,7.7e-05,0.000247
2427,3.64,4.02,0.2934,0.0074,0.002,0.0073,0.008979,0.000226,7.5e-05,0.000244
2427,4.02,4.43,0.2438,0.006,0.0016,0.006,0.008825,0.000218,7.3e-05,0.000237
2427,4.43,4.88,0.2032,0.0048,0.0014,0.005,0.008764,0.000206,7.3e-05,0.000234
2427,4.88,5.37,0.1683,0.0039,0.0012,0.0041,0.008742,0.000203,7.4e-05,0.000232
2427,5.37,5.9,0.1386,0.0032,0.001,0.0033,0.008675,0.000202,7.4e-05,0.000229
2427,5.9,6.47,0.1114,0.0026,0.0008,0.0027,0.008492,0.000201,7.3e-05,0.000223
2427,6.47,7.09,0.09704,0.00221,0.00071,0.00229,0.00899,0.000205,7.9e-05,0.000235
2427,7.09,7.76,0.07621,0.00177,0.00056,0.00179,0.008656,0.000202,7.6e-05,0.000225
