bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,beryllium_flux m^-2sr^-1s^-1GV^-1,beryllium_flux_error_statistical m^-2sr^-1s^-1GV^-1,beryllium_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,beryllium_flux_error_time_independent m^-2sr^-1s^-1GV^-1,beryllium_to_helium_ratio,beryllium_to_helium_ratio_error_statistical,beryllium_to_helium_ratio_error_time_dependent,beryllium_to_helium_ratio_error_time_independent
2426,1.92,2.15,0.157,0.0133,0.0035,0.0034,0.002089,0.000177,4.9e-05,5.5e-05
2426,2.15,2.4,0.1529,0.0116,0.0026,0.0032,0.002245,0.00017,4e-05,5.5e-05
2426,2.4,2.67,0.1436,0.0099,0.0021,0.0031,0.00235,0.000163,3.7e-05,5.7e-05
2426,2.67,2.97,0.1474,0.0091,0.0021,0.0032,0.002733,0.000168,4.2e-05,6.7e-05
2426,2.97,3.29,0.1304,0.0077,0.0019,0.003,0.002777,0.000164,4.4e-05,7e-05
2426,3.29,3.64,0.1145,0.0064,0.0016,0.0026,0.002834,0.00016,4.3e-05,7.2e-05
2426,3.64,4.02,0.09456,0.00532,0.00133,0.00224,0.002766,0.000156,4.2e-05,7.2e-05
2426,4.02,4.43,0.08315,0.00448,0.00117,0.00201,0.002873,0.000155,4.3e-05,7.6e-05
2426,4.43,4.88,0.06958,0.00354,0.00098,0.00171,0.002892,0.000147,4.3e-05,7.8e-05
2426,4.88,5.37,0.0567,0.00285,0.00081,0.00142,0.002824,0.000142,4.3e-05,7.7e-05
2426,5.37,5.9,0.04997,0.00244,0.00072,0.00127,0.003021,0.000148,4.6e-05,8.4e-05
2426,5.9,6.47,0.03529,0.00188,0.00051,0.00091,0.0026,0.000139,4e-05,7.3e-05
2426,6.47,7.09,0.03177,0.0016,0.00046,0.00082,0.00286,0.000144,4.4e-05,8e-05
2426,7.09,7.76,0.02604,0.00131,0.00038,0.00067,0.002877,0.000145,4.4e-05,8.1e-05
2426,7.76,8.48,0.01957,0.00104,0.00028,0.0005,0.002651,0.00014,4.1e-05,7.5e-05
2426,8.48,9.26,0.0153,0.00085,0.00022,0.00039,0.002557,0.000142,3.9e-05,7.2e-05
2426,9.26,10.1,0.01276,0.00073,0.00019,0.00033,0.002626,0.00015,4.1e-05,7.3e-05
2426,10.1,11.0,0.01132,0.00065,0.00016,0.00029,0.00286,0.000164,4.4e-05,8e-05
2426,11.0,12.0,0.008835,0.000534,0.000129,0.000223,0.002762,0.000167,4.3e-05,7.7e-05
2426,12.0,13.0,0.006611,0.000453,9.7e-05,0.000166,0.002526,0.000173,3.9e-05,7e-05
2426,13.0,14.1,0.005707,0.000394,8.4e-05,0.000142,0.002678,0.000185,4.2e-05,7.4e-05
2426,14.1,15.3,0.004591,0.00033,6.8e-05,0.000114,0.002638,0.00019,4.1e-05,7.2e-05
2426,15.3,16.6,0.003616,0.000274,5.4e-05,8.9e-05,0.002557,0.000194,4e-05,7e-05
2426,16.6,18.0,0.002712,0.000221,4.1e-05,6.7e-05,0.002356,0.000193,3.7e-05,6.4e-05
2426,18.0,19.5,0.002208,0.000185,3.3e-05,5.4e-05,0.002364,0.000198,3.7e-05,6.4e-05
2426,19.5,21.1,0.001599,0.000145,2.4e-05,3.9e-05,0.002109,0.000191,3.3e-05,5.7e-05
2426,21.1,22.8,0.00154,0.000132,2.3e-05,3.8e-05,0.002481,0.000213,3.9e-05,6.8e-05
2426,22.8,24.7,0.001236,0.000107,1.9e-05,3e-05,0.002464,0.000214,3.9e-05,6.7e-05
2426,24.7,26.7,0.0009443,8.77e-05,1.41e-05,2.31e-05,0.002308,0.000214,3.6e-05,6.3e-05
2426,26.7,28.8,0.0008601,7.96e-05,1.29e-05,2.11e-05,0.002578,0.000239,4.1e-05,7.1e-05
2426,28.8,31.1,0.0005135,5.78e-05,7.7e-06,1.26e-05,0.001886,0.000212,3e-05,5.2e-05
2426,31.1,33.5,0.0004688,5.35e-05,7.1e-06,1.15e-05,0.002123,0.000242,3.4e-05,5.9e-05
2426,33.5,36.1,0.000407,4.77e-05,6.2e-06,1.01e-05,0.002238,0.000263,3.6e-05,6.2e-05
2426,36.1,38.9,0.0002747,3.77e-05,4.2e-06,6.8e-06,0.00185,0.000254,3e-05,5.2e-05
2426,38.9,41.9,0.0002559,3.52e-05,3.9e-06,6.4e-06,0.002115,0.000291,3.4e-05,5.9e-05
2426,41.9,45.1,0.0001907,2.94e-05,2.9e-06,4.8e-06,0.001919,0.000296,3.1e-05,5.4e-05
