bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,carbon_flux m^-2sr^-1s^-1GV^-1,carbon_flux_error_statistical m^-2sr^-1s^-1GV^-1,carbon_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,carbon_flux_error_time_independent m^-2sr^-1s^-1GV^-1,carbon_to_helium_ratio,carbon_to_helium_ratio_error_statistical,carbon_to_helium_ratio_error_time_dependent,carbon_to_helium_ratio_error_time_independent
2426,1.92,2.15,1.936,0.052,0.028,0.046,0.02575,0.00069,0.00041,0.00073
2426,2.15,2.4,1.91,0.046,0.016,0.043,0.02805,0.00068,0.00028,0.00073
2426,2.4,2.67,1.592,0.036,0.009,0.034,0.02606,0.00059,0.00021,0.00063
2426,2.67,2.97,1.418,0.03,0.009,0.029,0.02629,0.00056,0.00022,0.00062
2426,2.97,3.29,1.292,0.026,0.007,0.027,0.02752,0.00056,0.00021,0.00066
2426,3.29,3.64,1.092,0.021,0.005,0.023,0.02703,0.00053,0.00019,0.00063
2426,3.64,4.02,0.9559,0.018,0.0041,0.0195,0.02795,0.00053,0.00019,0.00064
2426,4.02,4.43,0.8103,0.0149,0.0035,0.0163,0.028,0.00052,0.00019,0.00064
2426,4.43,4.88,0.6537,0.0115,0.0029,0.0131,0.02717,0.00048,0.00018,0.00062
2426,4.88,5.37,0.5548,0.0095,0.0025,0.0111,0.02763,0.00048,0.00019,0.00063
2426,5.37,5.9,0.475,0.008,0.0022,0.0096,0.02871,0.00049,0.0002,0.00066
2426,5.9,6.47,0.3977,0.0067,0.0019,0.008,0.0293,0.0005,0.0002,0.00067
2426,6.47,7.09,0.3179,0.0054,0.0015,0.0064,0.02861,0.00049,0.0002,0.00066
2426,7.09,7.76,0.2651,0.0044,0.0013,0.0053,0.02928,0.0005,0.0002,0.00067
2426,7.76,8.48,0.2126,0.0036,0.001,0.0043,0.02881,0.0005,0.0002,0.00066
2426,8.48,9.26,0.1707,0.003,0.0009,0.0034,0.02852,0.00051,0.0002,0.00066
2426,9.26,10.1,0.1455,0.0026,0.0008,0.0029,0.02993,0.00054,0.00022,0.00069
2426,10.1,11.0,0.1189,0.0022,0.0006,0.0024,0.03003,0.00057,0.00022,0.0007
2426,11.0,12.0,0.0917,0.00182,0.00049,0.00185,0.02866,0.00058,0.00021,0.00066
2426,12.0,13.0,0.07962,0.00167,0.00043,0.00161,0.03042,0.00064,0.00022,0.00071
2426,13.0,14.1,0.06627,0.00142,0.00036,0.00134,0.03109,0.00068,0.00023,0.00072
2426,14.1,15.3,0.05167,0.00118,0.00028,0.00104,0.02968,0.00068,0.00022,0.00069
2426,15.3,16.6,0.04424,0.00102,0.00025,0.00089,0.03128,0.00073,0.00023,0.00073
2426,16.6,18.0,0.03485,0.00084,0.0002,0.0007,0.03027,0.00074,0.00023,0.00071
2426,18.0,19.5,0.02881,0.00071,0.00016,0.00058,0.03084,0.00077,0.00023,0.00072
2426,19.5,21.1,0.02329,0.00059,0.00013,0.00047,0.03071,0.00078,0.00023,0.00072
2426,21.1,22.8,0.01893,0.00049,0.00011,0.00038,0.0305,0.0008,0.00023,0.00072
2426,22.8,24.7,0.01504,0.0004,9e-05,0.00031,0.02998,0.0008,0.00023,0.00071
2426,24.7,26.7,0.0129,0.00034,8e-05,0.00026,0.03153,0.00085,0.00024,0.00075
2426,26.7,28.8,0.01072,0.0003,6e-05,0.00022,0.03212,0.0009,0.00025,0.00076
2426,28.8,31.1,0.008002,0.000241,4.8e-05,0.000163,0.02939,0.0009,0.00023,0.0007
2426,31.1,33.5,0.006892,0.000217,4.2e-05,0.00014,0.03121,0.001,0.00024,0.00075
2426,33.5,36.1,0.006098,0.000195,3.7e-05,0.000124,0.03353,0.00109,0.00026,0.0008
2426,36.1,38.9,0.0047,0.000165,2.9e-05,9.6e-05,0.03166,0.00113,0.00025,0.00076
2426,38.9,41.9,0.003824,0.000144,2.4e-05,7.8e-05,0.0316,0.0012,0.00025,0.00076
2426,41.9,45.1,0.003155,0.000126,2e-05,6.4e-05,0.03174,0.00129,0.00025,0.00077
