begin date YYYY-MM-DD,end date YYYY-MM-DD,rigidity_min GV,rigidity_max GV,D_flux m^-2sr^-1s^-1GV^-1,D_flux_error_statistical m^-2sr^-1s^-1GV^-1,D_flux_error_timedependent m^-2sr^-1s^-1GV^-1,D_flux_error_systematic m^-2sr^-1s^-1GV^-1,3He_flux m^-2sr^-1s^-1GV^-1,3He_flux_error_statistical m^-2sr^-1s^-1GV^-1,3He_flux_error_timedependent m^-2sr^-1s^-1GV^-1,3He_flux_error_systematic m^-2sr^-1s^-1GV^-1,4He_flux m^-2sr^-1s^-1GV^-1,4He_flux_error_statistical m^-2sr^-1s^-1GV^-1,4He_flux_error_timedependent m^-2sr^-1s^-1GV^-1,4He_flux_error_systematic m^-2sr^-1s^-1GV^-1,D_to_4He_ratio,D_to_4He_ratio_error_statistical,D_to_4He_ratio_error_timedependent,D_to_4He_ratio_error_systematic,3He_to_4He_ratio,3He_to_4He_ratio_error_statistical,3He_to_4He_ratio_error_timedependent,3He_to_4He_ratio_error_systematic
2011-05-20,2011-08-30,1.92,2.15,11.21,0.09,0.04,0.45,9.393,0.104,0.103,0.121,60.64,0.22,0.67,0.94,0.1849,0.0016,0.0021,0.008,0.1549,0.0018,0.0024,0.0031
2011-05-20,2011-08-30,2.15,2.4,9.579,0.081,0.08,0.376,8.939,0.094,0.098,0.123,55.61,0.2,0.61,0.84,0.1723,0.0016,0.0024,0.0081,0.1607,0.0018,0.0025,0.0033
2011-05-20,2011-08-30,2.4,2.67,8.762,0.122,0.067,0.331,8.295,0.088,0.091,0.165,51.62,0.18,0.57,0.76,0.1697,0.0024,0.0023,0.0099,0.1607,0.0018,0.0025,0.0035
2011-05-20,2011-08-30,2.67,2.97,7.837,0.154,0.054,0.281,7.388,0.089,0.081,0.166,46.86,0.17,0.52,0.67,0.1672,0.0033,0.0022,0.007,0.1577,0.002,0.0025,0.0036
2011-05-20,2011-08-30,2.97,3.29,6.21,0.174,0.068,0.228,6.087,0.097,0.067,0.154,39.25,0.15,0.43,0.56,0.1582,0.0045,0.0025,0.0067,0.1551,0.0025,0.0024,0.004
2011-05-20,2011-08-30,3.29,3.64,5.57,0.12,0.061,0.227,5.268,0.103,0.058,0.139,34.42,0.15,0.38,0.53,0.1618,0.0036,0.0025,0.008,0.153,0.0031,0.0024,0.004
2011-05-20,2011-08-30,3.64,4.02,4.858,0.094,0.053,0.217,4.475,0.103,0.049,0.119,29.77,0.15,0.33,0.47,0.1632,0.0033,0.0025,0.0087,0.1503,0.0036,0.0023,0.0039
2011-05-20,2011-08-30,4.02,4.43,4.094,0.078,0.045,0.181,3.749,0.092,0.041,0.099,25.41,0.17,0.28,0.41,0.1611,0.0032,0.0025,0.0085,0.1475,0.0037,0.0023,0.0038
2011-05-20,2011-08-30,4.43,4.88,3.468,0.066,0.038,0.154,3.103,0.068,0.034,0.078,21.51,0.18,0.24,0.35,0.1612,0.0034,0.0025,0.0085,0.1443,0.0034,0.0022,0.0036
2011-05-20,2011-08-30,4.88,5.37,2.71,0.059,0.03,0.122,2.302,0.037,0.025,0.053,16.48,0.17,0.18,0.26,0.1645,0.004,0.0026,0.0092,0.1397,0.0027,0.0022,0.0035
2011-05-20,2011-08-30,5.37,5.9,2.279,0.041,0.025,0.103,1.82,0.021,0.02,0.032,13.7,0.15,0.15,0.21,0.1663,0.0035,0.0026,0.0091,0.1328,0.0021,0.0021,0.0028
2011-05-20,2011-08-30,5.9,6.47,1.859,0.032,0.02,0.083,1.474,0.014,0.016,0.023,11.33,0.11,0.12,0.16,0.1641,0.0033,0.0026,0.0088,0.1302,0.0018,0.002,0.0025
2011-05-20,2011-08-30,6.47,7.09,1.486,0.024,0.016,0.06,1.199,0.011,0.013,0.018,9.327,0.066,0.103,0.121,0.1593,0.0028,0.0025,0.0078,0.1286,0.0015,0.002,0.0025
2011-05-20,2011-08-30,7.09,7.76,1.28,0.015,0.014,0.046,0.9697,0.0085,0.0107,0.0164,7.904,0.038,0.087,0.092,0.162,0.0021,0.0025,0.0056,0.1227,0.0012,0.0019,0.0027
2011-05-20,2011-08-30,7.76,8.48,1.025,0.011,0.011,0.033,0.7823,0.007,0.0086,0.015,6.493,0.025,0.071,0.075,0.1578,0.0017,0.0025,0.0063,0.1205,0.0012,0.0019,0.0029
2011-05-20,2011-08-30,8.48,9.26,0.834,0.0076,0.0092,0.0253,0.6239,0.0059,0.0069,0.0128,5.32,0.019,0.059,0.062,0.1568,0.0015,0.0024,0.006,0.1173,0.0012,0.0018,0.003
