date YYYY-MM-DD,rigidity_min GV,rigidity_max GV,helium_flux m^-2sr^-1s^-1GV^-1,helium_flux_error_statistical m^-2sr^-1s^-1GV^-1,helium_flux_error_timedependent m^-2sr^-1s^-1GV^-1,helium_flux_error_systematic_total m^-2sr^-1s^-1GV^-1,helium_to_proton_ratio,helium_to_proton_ratio_error_statistical,helium_to_proton_ratio_error_timedependent,helium_to_proton_ratio_error_systematic_total
2011-05-20,1.71,1.92,87.7,1.8,0.46,1.76,0.1186,0.0026,0.0008,0.0029
2011-05-20,1.92,2.15,80.71,1.53,0.4,1.28,0.1281,0.0026,0.0008,0.0026
2011-05-20,2.15,2.4,73.6,1.34,0.36,1.01,0.1341,0.0026,0.0008,0.0024
2011-05-20,2.4,2.67,66.13,1.13,0.31,0.83,0.1429,0.0026,0.0009,0.0024
2011-05-20,2.67,2.97,57.54,0.94,0.26,0.69,0.1465,0.0026,0.0009,0.0023
2011-05-20,2.97,3.29,48.02,0.81,0.2,0.56,0.1465,0.0027,0.0008,0.0022
2011-05-20,3.29,3.64,42.18,0.7,0.18,0.49,0.1534,0.0027,0.0009,0.0023
2011-05-20,3.64,4.02,35.56,0.56,0.15,0.41,0.1581,0.0027,0.0009,0.0023
2011-05-20,4.02,4.43,29.66,0.45,0.12,0.34,0.1609,0.0026,0.0009,0.0023
2011-05-20,4.43,4.88,24.74,0.38,0.1,0.28,0.1649,0.0027,0.0009,0.0024
2011-05-20,4.88,5.37,20.67,0.31,0.08,0.24,0.1697,0.0028,0.0009,0.0024
2011-05-20,5.37,5.9,16.86,0.26,0.06,0.19,0.1703,0.0028,0.0009,0.0024
2011-05-20,5.9,6.47,13.9,0.22,0.05,0.16,0.1743,0.003,0.0009,0.0025
2011-05-20,6.47,7.09,11.38,0.18,0.04,0.13,0.1756,0.003,0.0009,0.0025
2011-05-20,7.09,7.76,9.522,0.15,0.035,0.112,0.1837,0.0031,0.001,0.0026
2011-05-20,7.76,8.48,7.723,0.126,0.029,0.091,0.1873,0.0033,0.001,0.0027
2011-05-20,8.48,9.26,6.262,0.107,0.023,0.074,0.1846,0.0034,0.001,0.0026
2011-05-20,9.26,10.1,5.108,0.091,0.019,0.061,0.1914,0.0037,0.001,0.0027
2011-05-20,10.1,11.0,3.858,0.075,0.014,0.046,0.1812,0.0038,0.001,0.0026
2011-05-20,11.0,13.0,3.009,0.044,0.011,0.036,0.193,0.0031,0.001,0.0028
2011-05-20,13.0,16.6,1.8,0.024,0.007,0.022,0.1951,0.0028,0.001,0.0028
2011-05-20,16.6,22.8,0.8766,0.0107,0.0032,0.011,0.2023,0.0027,0.0011,0.0029
2011-05-20,22.8,33.5,0.3408,0.0044,0.0013,0.0044,0.2052,0.0029,0.0011,0.003
