bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,lithium_flux m^-2sr^-1s^-1GV^-1,lithium_flux_error_statistical m^-2sr^-1s^-1GV^-1,lithium_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,lithium_flux_error_time_independent m^-2sr^-1s^-1GV^-1,lithium_to_helium_ratio,lithium_to_helium_ratio_error_statistical,lithium_to_helium_ratio_error_time_dependent,lithium_to_helium_ratio_error_time_independent
2426,1.92,2.15,0.2998,0.0181,0.006,0.0071,0.003988,0.000242,8.4e-05,0.000112
2426,2.15,2.4,0.2953,0.0159,0.0037,0.0062,0.004336,0.000234,6e-05,0.000106
2426,2.4,2.67,0.276,0.0137,0.0028,0.0057,0.004518,0.000224,5.3e-05,0.000107
2426,2.67,2.97,0.2532,0.0118,0.0028,0.0052,0.004695,0.000219,5.7e-05,0.000109
2426,2.97,3.29,0.2551,0.0107,0.003,0.0052,0.005434,0.000229,7e-05,0.000125
2426,3.29,3.64,0.2273,0.0091,0.0023,0.0046,0.005626,0.000226,6.5e-05,0.00013
2426,3.64,4.02,0.2055,0.0079,0.0019,0.0042,0.006012,0.000231,6.5e-05,0.000139
2426,4.02,4.43,0.1661,0.0064,0.0015,0.0034,0.005739,0.00022,6.1e-05,0.000133
2426,4.43,4.88,0.1371,0.005,0.0013,0.0028,0.005698,0.000208,6.1e-05,0.000133
2426,4.88,5.37,0.1245,0.0042,0.0012,0.0026,0.006199,0.000212,6.7e-05,0.000147
2426,5.37,5.9,0.09977,0.00347,0.00095,0.00216,0.006031,0.00021,6.5e-05,0.000146
2426,5.9,6.47,0.08388,0.00292,0.00081,0.00187,0.006181,0.000216,6.7e-05,0.000153
2426,6.47,7.09,0.07128,0.00242,0.0007,0.00161,0.006416,0.000219,7e-05,0.000162
2426,7.09,7.76,0.052,0.00186,0.00051,0.00119,0.005745,0.000206,6.4e-05,0.000146
2426,7.76,8.48,0.0465,0.00161,0.00046,0.00106,0.006301,0.000219,7e-05,0.00016
2426,8.48,9.26,0.03404,0.00127,0.00034,0.00078,0.005687,0.000213,6.4e-05,0.000145
2426,9.26,10.1,0.02773,0.00108,0.00028,0.00063,0.005706,0.000223,6.5e-05,0.000145
2426,10.1,11.0,0.02343,0.00094,0.00024,0.00053,0.005918,0.000238,6.8e-05,0.000149
2426,11.0,12.0,0.01787,0.00076,0.00019,0.0004,0.005587,0.000239,6.4e-05,0.000139
2426,12.0,13.0,0.01474,0.00068,0.00016,0.00032,0.00563,0.00026,6.6e-05,0.000139
2426,13.0,14.1,0.01193,0.00057,0.00013,0.00026,0.0056,0.00027,6.6e-05,0.000137
2426,14.1,15.3,0.009545,0.00048,0.000101,0.000203,0.005483,0.000276,6.4e-05,0.000133
2426,15.3,16.6,0.006797,0.000379,7.5e-05,0.000143,0.004806,0.000268,5.8e-05,0.000116
2426,16.6,18.0,0.006531,0.000347,7.5e-05,0.000136,0.005674,0.000302,7.1e-05,0.000136
2426,18.0,19.5,0.005101,0.000283,5.7e-05,0.000106,0.005461,0.000304,6.7e-05,0.000131
2426,19.5,21.1,0.003493,0.000216,3.7e-05,7.2e-05,0.004607,0.000286,5.4e-05,0.00011
2426,21.1,22.8,0.002996,0.000186,3.2e-05,6.2e-05,0.004827,0.0003,5.6e-05,0.000116
2426,22.8,24.7,0.002571,0.000156,2.8e-05,5.3e-05,0.005124,0.000311,6e-05,0.000123
2426,24.7,26.7,0.001984,0.000128,2.1e-05,4.1e-05,0.004849,0.000314,5.7e-05,0.000116
2426,26.7,28.8,0.001479,0.000105,1.6e-05,3.1e-05,0.004431,0.000316,5.3e-05,0.000107
2426,28.8,31.1,0.001294,9.2e-05,1.4e-05,2.7e-05,0.004753,0.00034,5.7e-05,0.000115
2426,31.1,33.5,0.0009191,7.55e-05,1.01e-05,1.9e-05,0.004161,0.000343,5e-05,0.0001
2426,33.5,36.1,0.00088,7.07e-05,9.8e-06,1.82e-05,0.004839,0.00039,5.9e-05,0.000117
2426,36.1,38.9,0.0006908,6.03e-05,7.8e-06,1.43e-05,0.004653,0.000407,5.7e-05,0.000113
2426,38.9,41.9,0.0005481,5.19e-05,6.3e-06,1.14e-05,0.004529,0.00043,5.6e-05,0.000111
2426,41.9,45.1,0.0003694,4.12e-05,4.3e-06,7.7e-06,0.003717,0.000416,4.7e-05,9.2e-05
2426,45.1,48.5,0.0003093,3.66e-05,3.7e-06,6.5e-06,0.003786,0.000449,4.9e-05,9.4e-05
2426,48.5,52.2,0.0002723,3.29e-05,3.2e-06,5.8e-06,0.004118,0.000499,5.3e-05,0.000103
2426,52.2,56.1,0.0002137,2.84e-05,2.6e-06,4.5e-06,0.003947,0.000526,5.1e-05,9.9e-05
2426,56.1,60.3,0.0001914,2.59e-05,2.3e-06,4e-06,0.004374,0.000594,5.6e-05,0.00011
2427,1.92,2.15,0.2741,0.0132,0.0029,0.0065,0.003958,0.000191,4.9e-05,0.000111
2427,2.15,2.4,0.2455,0.0111,0.002,0.0051,0.003882,0.000176,3.9e-05,9.5e-05
2427,2.4,2.67,0.2914,0.0108,0.0022,0.006,0.005112,0.000189,4.8e-05,0.000121
2427,2.67,2.97,0.2782,0.0095,0.0021,0.0057,0.005494,0.000188,5.1e-05,0.000128
2427,2.97,3.29,0.2422,0.008,0.0019,0.0049,0.005471,0.000181,5.1e-05,0.000126
2427,3.29,3.64,0.2135,0.0067,0.0016,0.0044,0.005566,0.000176,4.9e-05,0.000128
2427,3.64,4.02,0.1898,0.0058,0.0014,0.0039,0.005809,0.000178,5.1e-05,0.000134
2427,4.02,4.43,0.1645,0.0048,0.0012,0.0034,0.005953,0.000176,5.2e-05,0.000138
2427,4.43,4.88,0.1445,0.0039,0.001,0.003,0.00623,0.000171,5.4e-05,0.000146
2427,4.88,5.37,0.1143,0.0032,0.0008,0.0024,0.00594,0.000164,5.2e-05,0.000141
2427,5.37,5.9,0.09379,0.00261,0.0007,0.00203,0.00587,0.000164,5.2e-05,0.000142
2427,5.9,6.47,0.07906,0.00219,0.0006,0.00176,0.006028,0.000167,5.4e-05,0.00015
2427,6.47,7.09,0.06421,0.00178,0.00049,0.00145,0.005949,0.000165,5.4e-05,0.00015
2427,7.09,7.76,0.05505,0.00149,0.00043,0.00126,0.006252,0.00017,5.7e-05,0.000159
2427,7.76,8.48,0.04249,0.0012,0.00033,0.00097,0.005921,0.000168,5.4e-05,0.000151
2427,8.48,9.26,0.03378,0.001,0.00027,0.00077,0.005783,0.000171,5.3e-05,0.000147
2427,9.26,10.1,0.02852,0.00086,0.00023,0.00065,0.005992,0.000182,5.6e-05,0.000152
2427,10.1,11.0,0.02484,0.00076,0.0002,0.00056,0.006403,0.000197,6e-05,0.000161
2427,11.0,12.0,0.01784,0.0006,0.00015,0.0004,0.00567,0.000192,5.5e-05,0.000141
2427,12.0,13.0,0.01434,0.00053,0.00012,0.00031,0.005585,0.000207,5.4e-05,0.000138
2427,13.0,14.1,0.01185,0.00045,0.0001,0.00025,0.005605,0.000213,5.5e-05,0.000137
2427,14.1,15.3,0.009401,0.000375,8.1e-05,0.0002,0.005458,0.000218,5.4e-05,0.000132
2427,15.3,16.6,0.007586,0.000315,6.7e-05,0.00016,0.005457,0.000227,5.5e-05,0.000132
2427,16.6,18.0,0.006407,0.00027,5.7e-05,0.000134,0.005627,0.000238,5.7e-05,0.000135
2427,18.0,19.5,0.004433,0.000207,3.9e-05,9.2e-05,0.004808,0.000225,4.8e-05,0.000115
2427,19.5,21.1,0.003743,0.000176,3.3e-05,7.7e-05,0.004999,0.000235,5e-05,0.00012
2427,21.1,22.8,0.003137,0.000149,2.8e-05,6.5e-05,0.005076,0.000242,5.1e-05,0.000121
2427,22.8,24.7,0.002288,0.000116,2.1e-05,4.7e-05,0.004576,0.000232,4.6e-05,0.00011
2427,24.7,26.7,0.002103,0.000105,1.9e-05,4.3e-05,0.005217,0.000261,5.3e-05,0.000125
2427,26.7,28.8,0.001467,8.4e-05,1.3e-05,3e-05,0.004434,0.000254,4.5e-05,0.000107
2427,28.8,31.1,0.001285,7.4e-05,1.2e-05,2.7e-05,0.004772,0.000276,4.9e-05,0.000115
2427,31.1,33.5,0.0009654,6.24e-05,9e-06,1.99e-05,0.004362,0.000282,4.5e-05,0.000105
2427,33.5,36.1,0.0009111,5.82e-05,8.6e-06,1.88e-05,0.005067,0.000325,5.3e-05,0.000123
2427,36.1,38.9,0.0005982,4.54e-05,5.7e-06,1.24e-05,0.004066,0.000309,4.3e-05,9.9e-05
2427,38.9,41.9,0.000517,4.08e-05,5.1e-06,1.08e-05,0.004271,0.000338,4.6e-05,0.000104
2427,41.9,45.1,0.0003722,3.35e-05,3.7e-06,7.8e-06,0.003744,0.000338,4.1e-05,9.2e-05
2427,45.1,48.5,0.0003695,3.24e-05,3.8e-06,7.8e-06,0.004528,0.000398,5.1e-05,0.000112
2427,48.5,52.2,0.0002652,2.63e-05,2.7e-06,5.6e-06,0.003999,0.000398,4.6e-05,0.0001
2427,52.2,56.1,0.0002078,2.27e-05,2.2e-06,4.4e-06,0.003809,0.000417,4.3e-05,9.6e-05
2427,56.1,60.3,0.0001524,1.87e-05,1.6e-06,3.2e-06,0.00341,0.00042,3.9e-05,8.6e-05
2428,1.92,2.15,0.28,0.0131,0.0026,0.0066,0.003899,0.000182,4.3e-05,0.000109
2428,2.15,2.4,0.3062,0.0121,0.0022,0.0064,0.004659,0.000185,4.1e-05,0.000114
2428,2.4,2.67,0.2814,0.0104,0.002,0.0058,0.004767,0.000176,4.1e-05,0.000113
2428,2.67,2.97,0.2727,0.0092,0.0019,0.0056,0.00521,0.000177,4.4e-05,0.000121
2428,2.97,3.29,0.2628,0.0082,0.0019,0.0053,0.005712,0.000178,4.9e-05,0.000132
2428,3.29,3.64,0.2205,0.0067,0.0015,0.0045,0.005562,0.000169,4.5e-05,0.000128
2428,3.64,4.02,0.1912,0.0057,0.0012,0.0039,0.00567,0.000168,4.5e-05,0.000131
2428,4.02,4.43,0.1642,0.0047,0.001,0.0034,0.005748,0.000166,4.5e-05,0.000133
2428,4.43,4.88,0.142,0.0038,0.0009,0.0029,0.005944,0.00016,4.7e-05,0.000139
2428,4.88,5.37,0.1207,0.0031,0.0008,0.0025,0.006069,0.000158,4.8e-05,0.000144
2428,5.37,5.9,0.0975,0.00257,0.00064,0.00211,0.005927,0.000157,4.7e-05,0.000144
2428,5.9,6.47,0.08038,0.00213,0.00054,0.00179,0.00594,0.000158,4.8e-05,0.000147
2428,6.47,7.09,0.06729,0.00176,0.00046,0.00152,0.006059,0.000158,5e-05,0.000153
2428,7.09,7.76,0.05524,0.00144,0.00038,0.00126,0.006096,0.000159,5e-05,0.000155
2428,7.76,8.48,0.04474,0.00118,0.00032,0.00102,0.006093,0.000161,5.1e-05,0.000155
2428,8.48,9.26,0.03451,0.00096,0.00025,0.00079,0.005747,0.00016,4.9e-05,0.000146
2428,9.26,10.1,0.02838,0.00082,0.00021,0.00064,0.005831,0.000169,5e-05,0.000148
2428,10.1,11.0,0.02268,0.00069,0.00017,0.00051,0.00571,0.000175,4.9e-05,0.000144
2428,11.0,12.0,0.0192,0.00059,0.00015,0.00043,0.005947,0.000185,5.2e-05,0.000148
2428,12.0,13.0,0.01496,0.00052,0.00012,0.00033,0.005707,0.000197,5.1e-05,0.000141
2428,13.0,14.1,0.01201,0.00043,9e-05,0.00026,0.005598,0.000202,5e-05,0.000137
2428,14.1,15.3,0.009163,0.000354,7.2e-05,0.000195,0.005227,0.000202,4.7e-05,0.000127
2428,15.3,16.6,0.008531,0.00032,6.9e-05,0.00018,0.006011,0.000226,5.5e-05,0.000145
2428,16.6,18.0,0.006188,0.000255,5e-05,0.000129,0.005368,0.000221,5e-05,0.000129
2428,18.0,19.5,0.00447,0.000201,3.6e-05,9.3e-05,0.004777,0.000215,4.4e-05,0.000114
2428,19.5,21.1,0.004085,0.000178,3.3e-05,8.4e-05,0.005391,0.000235,4.9e-05,0.000129
2428,21.1,22.8,0.002917,0.00014,2.3e-05,6e-05,0.004713,0.000226,4.3e-05,0.000113
2428,22.8,24.7,0.002329,0.000113,1.9e-05,4.8e-05,0.00463,0.000226,4.3e-05,0.000111
2428,24.7,26.7,0.001893,9.6e-05,1.6e-05,3.9e-05,0.004657,0.000237,4.4e-05,0.000112
2428,26.7,28.8,0.001473,8e-05,1.2e-05,3e-05,0.004425,0.000242,4.2e-05,0.000106
2428,28.8,31.1,0.001215,6.9e-05,1e-05,2.5e-05,0.004502,0.000255,4.3e-05,0.000108
2428,31.1,33.5,0.0009964,6.02e-05,8.6e-06,2.06e-05,0.004461,0.00027,4.3e-05,0.000108
