bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,nitrogen_flux m^-2sr^-1s^-1GV^-1,nitrogen_flux_error_statistical m^-2sr^-1s^-1GV^-1,nitrogen_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,nitrogen_flux_error_time_independent m^-2sr^-1s^-1GV^-1,nitrogen_to_helium_ratio,nitrogen_to_helium_ratio_error_statistical,nitrogen_to_helium_ratio_error_time_dependent,nitrogen_to_helium_ratio_error_time_independent
2426,1.92,2.15,0.4882,0.0265,0.0136,0.0107,0.006495,0.000353,0.000186,0.000173
2426,2.15,2.4,0.4768,0.023,0.0069,0.0106,0.007001,0.000338,0.00011,0.00018
2426,2.4,2.67,0.4215,0.0186,0.0047,0.0088,0.006899,0.000306,8.6e-05,0.000165
2426,2.67,2.97,0.3687,0.0154,0.0033,0.0075,0.006836,0.000287,7.2e-05,0.000159
2426,2.97,3.29,0.331,0.0131,0.0037,0.0068,0.00705,0.000281,8.7e-05,0.000163
2426,3.29,3.64,0.2907,0.011,0.0024,0.0059,0.007196,0.000274,7.2e-05,0.000166
2426,3.64,4.02,0.2665,0.0096,0.0021,0.0054,0.007794,0.000281,7.4e-05,0.00018
2426,4.02,4.43,0.2269,0.0079,0.0018,0.0046,0.00784,0.000275,7.3e-05,0.000181
2426,4.43,4.88,0.1914,0.0063,0.0015,0.0039,0.007957,0.000262,7.4e-05,0.000185
2426,4.88,5.37,0.1505,0.005,0.0013,0.0031,0.007493,0.000249,7.3e-05,0.000175
2426,5.37,5.9,0.1248,0.0041,0.001,0.0026,0.007543,0.000251,7.3e-05,0.000178
2426,5.9,6.47,0.1053,0.0035,0.0008,0.0022,0.007761,0.000257,7.4e-05,0.000184
2426,6.47,7.09,0.08225,0.00275,0.00069,0.00173,0.007404,0.000248,7.2e-05,0.000176
2426,7.09,7.76,0.06582,0.00221,0.00055,0.00139,0.007271,0.000245,7.1e-05,0.000174
2426,7.76,8.48,0.05369,0.00182,0.00044,0.00114,0.007276,0.000248,7e-05,0.000174
2426,8.48,9.26,0.04731,0.00158,0.00039,0.001,0.007905,0.000265,7.6e-05,0.000189
2426,9.26,10.1,0.0388,0.00135,0.00032,0.00082,0.007984,0.000278,7.7e-05,0.000191
2426,10.1,11.0,0.0297,0.00112,0.00025,0.00063,0.007503,0.000283,7.2e-05,0.00018
2426,11.0,12.0,0.02434,0.00094,0.0002,0.00051,0.007609,0.000295,7.4e-05,0.000182
2426,12.0,13.0,0.01941,0.00082,0.00016,0.00041,0.007416,0.000315,7.2e-05,0.000177
2426,13.0,14.1,0.0162,0.0007,0.00014,0.00034,0.007603,0.000331,7.4e-05,0.000181
2426,14.1,15.3,0.013,0.00059,0.00011,0.00027,0.007466,0.000339,7.3e-05,0.000178
2426,15.3,16.6,0.01041,0.00049,9e-05,0.00022,0.007364,0.000349,7.2e-05,0.000176
2426,16.6,18.0,0.008324,0.000411,7.1e-05,0.000172,0.007232,0.000358,7.1e-05,0.000173
2426,18.0,19.5,0.007573,0.000362,6.5e-05,0.000157,0.008108,0.000389,8e-05,0.000194
2426,19.5,21.1,0.00502,0.000271,4.3e-05,0.000104,0.00662,0.000359,6.6e-05,0.000158
2426,21.1,22.8,0.004695,0.000243,4.1e-05,9.7e-05,0.007566,0.000393,7.6e-05,0.000181
2426,22.8,24.7,0.003679,0.000195,3.2e-05,7.6e-05,0.007332,0.00039,7.4e-05,0.000176
