bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,oxygen_flux m^-2sr^-1s^-1GV^-1,oxygen_flux_error_statistical m^-2sr^-1s^-1GV^-1,oxygen_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,oxygen_flux_error_time_independent m^-2sr^-1s^-1GV^-1,oxygen_to_helium_ratio,oxygen_to_helium_ratio_error_statistical,oxygen_to_helium_ratio_error_time_dependent,oxygen_to_helium_ratio_error_time_independent
2426,1.92,2.15,1.702,0.052,0.037,0.048,0.02264,0.00069,0.00052,0.00072
2426,2.15,2.4,1.667,0.046,0.023,0.038,0.02447,0.00068,0.00037,0.00064
2426,2.4,2.67,1.472,0.038,0.014,0.034,0.02409,0.00062,0.00026,0.00062
2426,2.67,2.97,1.275,0.031,0.007,0.027,0.02364,0.00058,0.00019,0.00056
2426,2.97,3.29,1.099,0.026,0.008,0.023,0.02341,0.00055,0.00021,0.00055
2426,3.29,3.64,0.9869,0.0216,0.005,0.0202,0.02443,0.00054,0.00018,0.00057
2426,3.64,4.02,0.8677,0.0183,0.0041,0.0177,0.02538,0.00054,0.00018,0.00058
2426,4.02,4.43,0.7515,0.0153,0.0034,0.0153,0.02596,0.00053,0.00018,0.0006
2426,4.43,4.88,0.6282,0.0121,0.0029,0.0128,0.02611,0.00051,0.00018,0.0006
2426,4.88,5.37,0.5155,0.0098,0.0025,0.0105,0.02567,0.00049,0.00018,0.00059
2426,5.37,5.9,0.4363,0.0082,0.0022,0.0089,0.02637,0.0005,0.00019,0.00061
2426,5.9,6.47,0.3765,0.007,0.0019,0.0077,0.02774,0.00052,0.0002,0.00064
2426,6.47,7.09,0.2968,0.0055,0.0015,0.006,0.02672,0.0005,0.00019,0.00062
2426,7.09,7.76,0.2437,0.0045,0.0012,0.005,0.02693,0.0005,0.00019,0.00063
2426,7.76,8.48,0.2011,0.0037,0.001,0.0041,0.02724,0.00051,0.0002,0.00063
2426,8.48,9.26,0.1649,0.0031,0.0009,0.0034,0.02756,0.00053,0.0002,0.00064
2426,9.26,10.1,0.1383,0.0027,0.0007,0.0028,0.02847,0.00056,0.00021,0.00067
2426,10.1,11.0,0.1147,0.0023,0.0006,0.0023,0.02897,0.00059,0.00021,0.00068
2426,11.0,12.0,0.09243,0.00195,0.00051,0.00189,0.02889,0.00061,0.00021,0.00068
2426,12.0,13.0,0.07963,0.00177,0.00045,0.00162,0.03043,0.00068,0.00023,0.00071
2426,13.0,14.1,0.06372,0.00148,0.00036,0.0013,0.0299,0.0007,0.00023,0.0007
2426,14.1,15.3,0.05031,0.00123,0.00029,0.00103,0.0289,0.00071,0.00022,0.00068
2426,15.3,16.6,0.04409,0.00108,0.00026,0.0009,0.03118,0.00077,0.00024,0.00073
2426,16.6,18.0,0.03359,0.00088,0.0002,0.00069,0.02918,0.00077,0.00023,0.00069
2426,18.0,19.5,0.02813,0.00074,0.00017,0.00057,0.03012,0.0008,0.00024,0.00071
2426,19.5,21.1,0.02346,0.00062,0.00014,0.00048,0.03094,0.00083,0.00024,0.00073
2426,21.1,22.8,0.01911,0.00052,0.00011,0.00039,0.03079,0.00085,0.00024,0.00073
2426,22.8,24.7,0.01614,0.00043,9e-05,0.00033,0.03216,0.00088,0.00025,0.00077
2426,24.7,26.7,0.01364,0.00037,8e-05,0.00028,0.03334,0.00092,0.00026,0.00079
2426,26.7,28.8,0.01017,0.00031,6e-05,0.00021,0.03048,0.00093,0.00024,0.00073
2426,28.8,31.1,0.009161,0.000273,5.5e-05,0.000187,0.03365,0.00102,0.00026,0.0008
2426,31.1,33.5,0.007194,0.000235,4.4e-05,0.000147,0.03257,0.00108,0.00026,0.00078
2426,33.5,36.1,0.005828,0.000202,3.6e-05,0.000119,0.03205,0.00113,0.00025,0.00077
2426,36.1,38.9,0.004685,0.000174,2.9e-05,9.6e-05,0.03155,0.00119,0.00025,0.00076
2426,38.9,41.9,0.003802,0.000151,2.4e-05,7.8e-05,0.03142,0.00127,0.00025,0.00076
2426,41.9,45.1,0.003404,0.000139,2.2e-05,7e-05,0.03425,0.00142,0.00028,0.00083
2426,45.1,48.5,0.002683,0.000119,1.7e-05,5.5e-05,0.03283,0.00148,0.00027,0.0008
2426,48.5,52.2,0.002309,0.000106,1.5e-05,4.7e-05,0.03492,0.00163,0.00029,0.00085
