bartels_rotation_number,rigidity_min GV,rigidity_max GV,antiproton_flux m^-2sr^-1s^-1GV^-1,antiproton_flux_error_statistical m^-2sr^-1s^-1GV^-1, antiproton_flux_error_systematic_timedependent m^-2sr^-1s^-1GV^-1,antiproton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2426,1.0,1.92,0.0135,0.0039,0.0006,0.0013
2426,1.92,2.97,0.0121,0.0026,0.0006,0.001
2426,2.97,4.02,0.0201,0.003,0.0004,0.0011
2426,4.02,4.88,0.0137,0.0009,0.0002,0.0006
2426,4.88,5.9,0.0129,0.0007,0.0001,0.0006
2426,5.9,7.09,0.00984,0.0005,0.00027,0.00049
2426,7.09,8.48,0.00793,0.00036,0.00026,0.00041
2426,8.48,11.0,0.0049,0.00019,9e-05,0.0002
2426,11.0,16.6,0.00237,8e-05,4e-05,9e-05
2426,16.6,22.8,0.00098,4.4e-05,3.3e-05,4.6e-05
2426,22.8,41.9,0.000298,1.1e-05,8e-06,1.2e-05
2427,1.0,1.92,0.00955,0.00138,0.00047,0.0009
2427,1.92,2.97,0.0159,0.0013,0.0007,0.0013
2427,2.97,4.02,0.017,0.0013,0.0003,0.0009
2427,4.02,4.88,0.014,0.0006,0.0001,0.0006
2427,4.88,5.9,0.0119,0.0005,0.0001,0.0005
2427,5.9,7.09,0.00974,0.00036,0.00015,0.00043
2427,7.09,8.48,0.00727,0.00028,8e-05,0.0003
2427,8.48,11.0,0.00435,0.00015,6e-05,0.00018
2427,11.0,16.6,0.00206,7e-05,4e-05,8e-05
2427,16.6,22.8,0.000947,3.7e-05,2.5e-05,3.9e-05
2427,22.8,41.9,0.000245,9e-06,3e-06,8e-06
2428,1.0,1.92,0.0118,0.0016,0.0006,0.0011
2428,1.92,2.97,0.0173,0.0013,0.0007,0.0014
2428,2.97,4.02,0.0184,0.0013,0.0003,0.0009
2428,4.02,4.88,0.0153,0.0007,0.0002,0.0007
2428,4.88,5.9,0.0131,0.0005,0.0001,0.0006
2428,5.9,7.09,0.0095,0.00036,0.00017,0.00043
2428,7.09,8.48,0.00751,0.00027,0.00027,0.0004
2428,8.48,11.0,0.0047,0.00014,0.0001,0.0002
2428,11.0,16.6,0.00229,6e-05,4e-05,9e-05
2428,16.6,22.8,0.000983,3.4e-05,2.9e-05,4.3e-05
2428,22.8,41.9,0.000309,9e-06,7e-06,1.1e-05
2429,1.0,1.92,0.00884,0.00128,0.00042,0.00082
2429,1.92,2.97,0.0146,0.0012,0.0006,0.0011
2429,2.97,4.02,0.0179,0.0013,0.0003,0.0009
2429,4.02,4.88,0.0138,0.0006,0.0001,0.0006
2429,4.88,5.9,0.0127,0.0005,0.0001,0.0006
2429,5.9,7.09,0.0101,0.0004,0.0001,0.0004
2429,7.09,8.48,0.00725,0.00026,0.00013,0.00031
2429,8.48,11.0,0.00499,0.00015,5e-05,0.0002
2429,11.0,16.6,0.00211,6e-05,2e-05,8e-05
2429,16.6,22.8,0.000858,3.2e-05,1e-05,2.9e-05
2429,22.8,41.9,0.000249,8e-06,3e-06,8e-06
2430,1.0,1.92,0.00914,0.00124,0.00044,0.00085
2430,1.92,2.97,0.0155,0.0012,0.0007,0.0012
2430,2.97,4.02,0.0164,0.0012,0.0002,0.0008
2430,4.02,4.88,0.0146,0.0006,0.0001,0.0007
2430,4.88,5.9,0.0132,0.0005,0.0001,0.0006
2430,5.9,7.09,0.0108,0.0004,0.0001,0.0005
2430,7.09,8.48,0.00725,0.00025,0.00011,0.00031
2430,8.48,11.0,0.00451,0.00013,5e-05,0.00018
2430,11.0,16.6,0.00215,6e-05,3e-05,8e-05
2430,16.6,22.8,0.000848,3.1e-05,1.3e-05,3e-05
2430,22.8,41.9,0.000263,8e-06,4e-06,9e-06
2431,1.0,1.92,0.00859,0.00119,0.00041,0.0008
2431,1.92,2.97,0.0155,0.0012,0.0007,0.0012
2431,2.97,4.02,0.0174,0.0012,0.0003,0.0009
2431,4.02,4.88,0.0141,0.0006,0.0001,0.0006
2431,4.88,5.9,0.0135,0.0005,0.0001,0.0006
2431,5.9,7.09,0.00974,0.00034,0.00016,0.00043
2431,7.09,8.48,0.00685,0.00024,0.00011,0.00029
2431,8.48,11.0,0.00462,0.00013,5e-05,0.00018
2431,11.0,16.6,0.00205,6e-05,2e-05,8e-05
2431,16.6,22.8,0.000918,3.2e-05,2.1e-05,3.6e-05
2431,22.8,41.9,0.000255,8e-06,4e-06,8e-06
2432,1.0,1.92,0.0111,0.0013,0.0005,0.001
2432,1.92,2.97,0.0147,0.0011,0.0006,0.0012
2432,2.97,4.02,0.0149,0.0012,0.0003,0.0008
2432,4.02,4.88,0.0144,0.0006,0.0001,0.0007
2432,4.88,5.9,0.0124,0.0005,0.0001,0.0005
2432,5.9,7.09,0.00999,0.00035,0.00017,0.00045
2432,7.09,8.48,0.00718,0.00025,8e-05,0.0003
2432,8.48,11.0,0.00435,0.00014,4e-05,0.00017
2432,11.0,16.6,0.00212,6e-05,2e-05,8e-05
2432,16.6,22.8,0.000925,3.3e-05,1.1e-05,3.2e-05
2432,22.8,41.9,0.000251,8e-06,5e-06,9e-06
2433,1.0,1.92,0.00958,0.00129,0.00046,0.00089
2433,1.92,2.97,0.0155,0.0012,0.0007,0.0012
2433,2.97,4.02,0.0153,0.0012,0.0003,0.0008
2433,4.02,4.88,0.0149,0.0006,0.0001,0.0007
2433,4.88,5.9,0.0121,0.0005,0.0001,0.0005
2433,5.9,7.09,0.00992,0.00035,0.00017,0.00044
2433,7.09,8.48,0.00761,0.00027,9e-05,0.00031
2433,8.48,11.0,0.00479,0.00015,5e-05,0.00019
2433,11.0,16.6,0.00199,6e-05,3e-05,7e-05
2433,16.6,22.8,0.000893,3.3e-05,1.8e-05,3.4e-05
2433,22.8,41.9,0.000242,8e-06,6e-06,9e-06
2434,1.0,1.92,0.0097,0.00131,0.00046,0.0009
2434,1.92,2.97,0.0159,0.0013,0.0007,0.0013
2434,2.97,4.02,0.0187,0.0014,0.0003,0.001
2434,4.02,4.88,0.0139,0.0006,0.0001,0.0006
2434,4.88,5.9,0.0138,0.0005,0.0001,0.0006
2434,5.9,7.09,0.01,0.0004,0.0002,0.0005
2434,7.09,8.48,0.00701,0.00027,0.00011,0.0003
2434,8.48,11.0,0.0046,0.00015,5e-05,0.00018
2434,11.0,16.6,0.00219,6e-05,3e-05,8e-05
2434,16.6,22.8,0.000784,3.2e-05,1.5e-05,2.9e-05
2434,22.8,41.9,0.000259,9e-06,4e-06,9e-06
2435,1.0,1.92,0.0118,0.0014,0.0006,0.0011
2435,1.92,2.97,0.015,0.0012,0.0006,0.0012
2435,2.97,4.02,0.0156,0.0012,0.0003,0.0008
2435,4.02,4.88,0.0143,0.0006,0.0002,0.0007
2435,4.88,5.9,0.0126,0.0005,0.0001,0.0006
2435,5.9,7.09,0.0103,0.0004,0.0002,0.0005
2435,7.09,8.48,0.00673,0.00024,0.00012,0.00029
2435,8.48,11.0,0.00441,0.00014,4e-05,0.00017
2435,11.0,16.6,0.00206,6e-05,2e-05,7e-05
2435,16.6,22.8,0.000812,3e-05,1.5e-05,3e-05
2435,22.8,41.9,0.000254,8e-06,4e-06,8e-06
2436,1.0,1.92,0.00964,0.0013,0.00046,0.0009
2436,1.92,2.97,0.0148,0.0012,0.0006,0.0012
2436,2.97,4.02,0.016,0.0012,0.0002,0.0008
2436,4.02,4.88,0.0131,0.0006,0.0001,0.0006
2436,4.88,5.9,0.0127,0.0005,0.0001,0.0006
2436,5.9,7.09,0.00994,0.00035,0.0002,0.00045
2436,7.09,8.48,0.00651,0.00024,8e-05,0.00027
2436,8.48,11.0,0.00456,0.00014,5e-05,0.00018
2436,11.0,16.6,0.00209,6e-05,2e-05,8e-05
2436,16.6,22.8,0.000805,3e-05,1.8e-05,3.2e-05
2436,22.8,41.9,0.000267,8e-06,4e-06,9e-06
2437,1.0,1.92,0.0109,0.0016,0.0005,0.001
2437,1.92,2.97,0.0139,0.0013,0.0006,0.0011
2437,2.97,4.02,0.0136,0.0012,0.0002,0.0007
2437,4.02,4.88,0.013,0.0006,0.0002,0.0006
2437,4.88,5.9,0.0123,0.0005,0.0001,0.0005
