CLASS,DEC_Counterpart,Energy_Flux100,Flux1000,Frac_Variability,LP_Index,PL_Index,RAJ2000,RA_Counterpart,Redshift,SED_class,Source_Name,Unc_Energy_Flux100,Unc_Flux1000,Unc_Frac_Variability,Unc_LP_Index,Unc_PL_Index,Variability_Index
b'bcu',47.7002009361,1.4994537e-12,1.2597956e-10,0.67588246,2.2540812,2.2716956,0.3126,0.3293408,-inf,b'ISP',b'4FGL J0001.2+4741',3.9684922e-13,2.8771974e-11,0.31285,0.22635077,0.17905669,25.313953
b'bll',-7.774144975,8.339171e-12,7.471219e-10,0.40656525,2.0789266,2.1166923,0.3151,0.3251038,-inf,b'LSP',b'4FGL J0001.2-0747',5.4994545e-13,5.041939e-11,0.11186972,0.06597397,0.049792346,46.780693
b'bll',-0.1944199949502945,1.2313846e-12,1.0822458e-10,0.0,1.6612232,1.9391596,0.3717,0.3395400047302246,0.461516,b'LSP',b'4FGL J0001.4-0010',3.138318e-13,2.9144395e-11,10.0,0.6733028,0.19264403,9.272764
b'fsrq',21.2267429583,2.555889e-11,1.3473536e-09,0.9961379,2.5141594,2.65406,0.3815,0.3848771,1.106,b'ISP',b'4FGL J0001.5+2113',6.6523176e-13,6.172809e-11,0.21347848,0.034550626,0.020943115,1910.9358
b'bcu',-41.9237053972,3.5604755e-12,2.8218167e-10,0.49097705,1.6938646,1.7751755,0.4165,0.386479595833,-inf,b'HSP',b'4FGL J0001.6-4156',4.1687758e-13,3.0908824e-11,0.17578249,0.10737491,0.07331966,26.393343
b'bcu',-21.88607406616211,1.0611143e-12,9.04753e-11,0.90285075,1.7166204,1.8766632,0.4647,0.5499226450920105,-inf,b'LSP',b'4FGL J0001.8-2153',2.7682162e-13,2.4425273e-11,0.38010666,0.36620802,0.1721119,24.557972
b'bll',-67.4481760667,2.3898186e-12,2.5888083e-10,0.17425367,1.593436,1.8477732,0.5378,0.563303229167,-inf,,b'4FGL J0002.1-6728',3.4951173e-13,3.210022e-11,0.23628621,0.13869484,0.07591386,12.5307255
b'bcu',-8.258999824523926,1.3253205e-12,1.1913824e-10,0.09686208,2.0607266,2.0920746,0.5937,0.6502500176429749,-inf,b'LSP',b'4FGL J0002.3-0815',3.542956e-13,3.133722e-11,1.9647523,0.24492237,0.1723951,13.0142145
b'bcu',-51.874305725097656,8.9724745e-13,7.802861e-11,0.5716937,1.535265,1.9144565,0.6131,0.6216830015182495,-inf,,b'4FGL J0002.4-5156',2.3626985e-13,2.1195904e-11,0.62483436,0.41477796,0.18030497,17.68631
b'bcu',-52.7909124778,3.957909e-12,3.4436592e-10,0.0,1.8593991,1.9155122,0.7817,0.831668583333,-inf,,b'4FGL J0003.1-5248',3.9440939e-13,3.4032673e-11,10.0,0.09829333,0.072900385,7.9984255
b'bll',22.0821530694,6.386718e-13,9.928427e-11,0.0,1.8975306,2.1164167,0.8058,0.852178433333,0.09983,b'LSP',b'4FGL J0003.2+2207',1.609938e-13,3.0247315e-11,10.0,0.48901185,0.17688376,12.451856
b'bcu',-19.4562098556,3.218208e-12,4.2482515e-10,0.5918794,2.1029518,2.28195,0.8465,0.827812570833,-inf,b'LSP',b'4FGL J0003.3-1928',4.3248348e-13,4.1030183e-11,0.15997198,0.13645579,0.06562985,49.879936
b'bcu',-59.096580505371094,1.447419e-12,1.2143381e-10,0.0,2.2789261,2.2739096,0.8483,0.8055400252342224,-inf,,b'4FGL J0003.3-5905',2.7034405e-13,2.1709416e-11,10.0,0.15518579,0.14445864,10.1481495
b'bcu',7.287184238433838,8.080546e-13,1.5356723e-10,0.0,1.9643838,2.2172673,0.8796,0.8468390703201294,-inf,b'LSP',b'4FGL J0003.5+0717',2.494424e-13,3.6670483e-11,10.0,0.39768988,0.15857996,10.951773
b'bll',-11.8162183194,2.3655015e-12,3.3126035e-10,0.0,2.0099006,2.1779604,0.9986,1.02047914167,1.30999,b'LSP',b'4FGL J0003.9-1149',3.7448685e-13,4.0111917e-11,10.0,0.14327441,0.08374477,7.3579965
b'bll',8.6939406,1.1514595e-12,1.7724999e-10,0.35787228,1.5944289,2.002625,1.0073,0.996792179167,2.057129,b'ISP',b'4FGL J0004.0+0840',2.6705008e-13,3.7600967e-11,0.4966698,0.34303802,0.12605168,15.3058
b'fsrq',46.2549934387207,5.1593144e-12,3.8481487e-10,1.0162235,2.490068,2.5879583,1.0757,1.0671985149383545,1.81,b'LSP',b'4FGL J0004.3+4614',6.537774e-13,4.1954978e-11,0.2342373,0.10728824,0.06640998,139.03676
b'fsrq',-47.6054455472,5.355802e-12,3.898786e-10,0.82349813,2.393472,2.4382217,1.1091,1.1485645375,0.88,b'LSP',b'4FGL J0004.4-4737',3.7047367e-13,3.2763084e-11,0.18814608,0.07404519,0.057656277,153.28648
b'fsrq',38.3375414,6.475134e-12,4.0120826e-10,0.36480123,2.5237925,2.6222498,1.4986,1.48823080417,0.229,b'LSP',b'4FGL J0005.9+3824',5.3962504e-13,4.2493797e-11,0.107505776,0.084620945,0.05475791,41.211475
b'bll',-6.39314870278,1.4257431e-12,1.2675634e-10,0.4856095,2.1237488,2.1502833,1.5992,1.55788704167,0.347,b'LSP',b'4FGL J0006.3-0620',3.1776128e-13,2.7863328e-11,0.33241215,0.21172261,0.15317643,23.379368
b'bll',1.60288485,1.0386839e-12,1.6665398e-10,0.0,1.7125118,2.0807567,1.6094,1.61218634167,0.787,b'ISP',b'4FGL J0006.4+0135',2.647862e-13,3.528146e-11,10.0,0.3037899,0.14748973,4.8810477
b'bll',-56.47541809082031,1.2930864e-12,8.951057e-11,0.0,2.4229586,2.4835656,1.6103,1.490208387374878,0.2912,b'LSP',b'4FGL J0006.4-5621',2.865618e-13,2.0917573e-11,10.0,0.24696884,0.15804005,11.135396
b'bcu',40.1416492417,3.4317308e-12,4.4584436e-10,0.51003826,1.9320873,2.1395662,1.9275,1.92361052083,-inf,,b'4FGL J0007.7+4008',5.357193e-13,4.3823185e-11,0.15463914,0.14680359,0.071487576,35.662487
b'bll',47.20215795,1.8770312e-11,2.0905304e-09,0.0,1.9260442,2.0533266,2.0024,1.99988861667,0.28,b'LSP',b'4FGL J0008.0+4711',9.191192e-13,7.382693e-11,10.0,0.042937554,0.02554075,5.7724886
b'bcu',-39.7563796333,2.0887955e-12,1.203355e-10,0.4244896,2.603963,2.6259644,2.0048,2.03834353333,-inf,b'LSP',b'4FGL J0008.0-3937',4.052439e-13,2.5553238e-11,0.24760127,0.21494788,0.12768282,16.605425
