date,rigidity_min_GV,rigidity_max_GV,flux,err_stat,err_time,err_sys
2011-05-20,1.0,1.16,999.8,15.7,10.0,29.3
2011-05-20,1.16,1.33,974.9,7.5,7.1,22.2
2011-05-20,1.33,1.51,914.4,6.7,5.0,17.1
2011-05-20,1.51,1.71,840.4,5.8,3.8,13.5
2011-05-20,1.71,1.92,739.4,4.9,3.1,10.7
2011-05-20,1.92,2.15,630.2,4.1,2.5,8.4
2011-05-20,2.15,2.4,548.9,3.6,2.2,6.9
2011-05-20,2.4,2.67,462.8,3.0,1.8,5.6
2011-05-20,2.67,2.97,392.7,2.5,1.5,4.6
2011-05-20,2.97,3.29,327.8,2.1,1.2,3.7
2011-05-20,3.29,3.64,274.9,1.8,1.0,3.1
2011-05-20,3.64,4.02,224.9,1.4,0.8,2.5
2011-05-20,4.02,4.43,184.4,1.1,0.7,2.0
2011-05-20,4.43,4.88,150.0,0.9,0.6,1.6
2011-05-20,4.88,5.37,121.8,0.8,0.5,1.3
2011-05-20,5.37,5.9,98.97,0.63,0.37,1.08
2011-05-20,5.9,6.47,79.75,0.52,0.3,0.87
2011-05-20,6.47,7.09,64.81,0.42,0.24,0.71
2011-05-20,7.09,7.76,51.83,0.35,0.19,0.57
2011-05-20,7.76,8.48,41.23,0.29,0.15,0.46
2011-05-20,8.48,9.26,33.92,0.25,0.13,0.38
2011-05-20,9.26,10.1,26.69,0.21,0.1,0.3
2011-05-20,10.1,11.0,21.29,0.17,0.08,0.24
2011-05-20,11.0,13.0,15.59,0.1,0.06,0.18
2011-05-20,13.0,16.6,9.228,0.052,0.034,0.108
2011-05-20,16.6,22.8,4.333,0.023,0.016,0.052
2011-05-20,22.8,33.5,1.661,0.009,0.006,0.021
2011-05-20,33.5,48.5,0.5846,0.0047,0.0025,0.0073
2011-05-20,48.5,69.7,0.208,0.0023,0.001,0.0026
2011-05-20,69.7,100.0,0.0763,0.00117,0.00049,0.00101
2011-05-21,1.0,1.16,1012.0,12.0,10.0,30.0
2011-05-21,1.16,1.33,1005.0,7.0,7.0,23.0
2011-05-21,1.33,1.51,927.7,6.4,4.6,17.2
2011-05-21,1.51,1.71,839.6,5.5,3.3,13.4
2011-05-21,1.71,1.92,747.7,4.7,2.6,10.7
2011-05-21,1.92,2.15,648.3,3.9,2.2,8.6
2011-05-21,2.15,2.4,554.0,3.3,1.8,6.9
2011-05-21,2.4,2.67,468.6,2.7,1.5,5.6
2011-05-21,2.67,2.97,394.6,2.2,1.2,4.5
2011-05-21,2.97,3.29,325.7,1.8,1.0,3.6
2011-05-21,3.29,3.64,272.0,1.5,0.8,3.0
2011-05-21,3.64,4.02,225.0,1.2,0.7,2.4
2011-05-21,4.02,4.43,184.6,0.9,0.5,2.0
2011-05-21,4.43,4.88,149.6,0.8,0.4,1.6
