NAME,RA,DEC,TRIGGER_TIME,T90,T90_ERROR,FLUENCE,FLUENCE_ERROR,T50,T50_ERROR,TRIGGER_NAME
GRB120403857                  ,55.3384,-89.0093,56020.856927003,4.288,1.935,2.3964e-07,2.0458e-08,1.408,1.62,"bn120403857
"
GRB120227725                  ,256.73,-88.86,55984.725475166,17.408,0.81,2.1949e-05,1.0403e-07,6.656,0.572,"bn120227725
"
GRB230524357                  ,13.08,-87.77,60088.357309166,11.008,4.72,1.4201e-06,4.2457e-08,3.584,0.572,"bn230524357
"
GRB141205018                  ,294.61,-87.58,56996.017706164,13.056,1.28,1.6031e-06,4.1267e-08,5.888,1.28,"bn141205018
"
GRB180630467                  ,48.9589,-87.4785,58299.466601915,12.032,1.864,2.988e-06,3.2537e-08,2.816,0.362,"bn180630467
"
GRB170116238                  ,72.94,-87.43,57769.238371056,9.216,3.62,1.1231e-06,9.1975e-08,4.352,2.111,"bn170116238
"
GRB250330255                  ,252.952,-86.8797,60764.255305802,4.8,0.326,1.4825e-06,1.3997e-08,1.664,0.181,"bn250330255
"
GRB250926827                  ,13.64,-86.18,60944.826748487,24.256,1.619,3.6552e-06,3.1169e-08,12.8,0.81,"bn250926827
"
GRB091026550                  ,276.573,-86.1115,55130.549687727,8.96,1.379,1.3765e-06,7.1983e-08,3.84,0.81,"bn091026550
"
GRB230428381                  ,121.75,-86.06,60062.381228598,4.352,1.639,3.4407e-07,3.2779e-08,1.536,1.145,"bn230428381
"
GRB260109362                  ,197.53,-73.94,61049.362064309,24.896,1.632,6.1855e-07,3.1329e-08,12.48,2.18,"bn260109362
"
GRB260102883                  ,60.66,-67.83,61042.883372376,1.6,0.528,2.416e-07,2.2191e-08,0.704,0.466,"bn260102883
"
GRB170106968                  ,39.41,-32.72,57759.967937784,31.232,10.524,1.0747e-06,1.2183e-07,19.968,6.461,"bn170106968
"
GRB150312403                  ,285.49,-86.0,57093.403306779,0.32,0.547,1.4018e-07,1.9221e-08,0.064,0.091,"bn150312403
"
GRB251018723                  ,245.91,-85.95,60966.723433849,0.32,0.163,9.7787e-08,6.4922e-09,0.128,0.045,"bn251018723
"
GRB110520302                  ,71.01,-85.93,55701.301692553,12.288,11.336,1.0428e-06,5.1064e-08,5.376,0.923,"bn110520302
"
GRB231224868                  ,102.29,-71.17,60302.867546229,0.832,0.838,2.3693e-07,1.9665e-08,0.032,0.315,"bn231224868
"
GRB121216419                  ,13.88,-85.44,56277.418940395,9.216,2.56,3.8503e-07,2.4751e-08,5.12,0.81,"bn121216419
"
GRB251114860                  ,160.08,-85.15,60993.860071783,7.936,1.145,1.7785e-06,1.7502e-08,1.28,0.362,"bn251114860
"
GRB200107810                  ,107.066,-83.716,58855.809986184,81.154,1.086,4.0811e-06,2.1979e-08,36.097,0.724,"bn200107810
"
GRB240119729                  ,152.67,-83.61,60328.728561161,0.832,0.923,1.5373e-06,3.9123e-08,0.064,0.091,"bn240119729
"
