bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,boron_flux m^-2sr^-1s^-1GV^-1,boron_flux_error_statistical m^-2sr^-1s^-1GV^-1,boron_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,boron_flux_error_time_independent m^-2sr^-1s^-1GV^-1,boron_to_helium_ratio,boron_to_helium_ratio_error_statistical,boron_to_helium_ratio_error_time_dependent,boron_to_helium_ratio_error_time_independent
2426,1.92,2.15,5.750E-01,0.271E-01,0.124E-01,0.181E-01,7.649E-03,0.362E-03,0.172E-03,0.267E-03
2426,2.15,2.40,5.181E-01,0.224E-01,0.095E-01,0.147E-01,7.608E-03,0.329E-03,0.146E-03,0.237E-03
2426,2.40,2.67,4.534E-01,0.181E-01,0.049E-01,0.123E-01,7.422E-03,0.296E-03,0.090E-03,0.219E-03
2426,2.67,2.97,4.381E-01,0.158E-01,0.044E-01,0.120E-01,8.124E-03,0.294E-03,0.093E-03,0.239E-03
2426,2.97,3.29,4.116E-01,0.139E-01,0.040E-01,0.109E-01,8.768E-03,0.297E-03,0.098E-03,0.251E-03
2426,3.29,3.64,3.224E-01,0.110E-01,0.029E-01,0.083E-01,7.982E-03,0.274E-03,0.083E-03,0.222E-03
2426,3.64,4.02,2.921E-01,0.095E-01,0.025E-01,0.073E-01,8.544E-03,0.279E-03,0.086E-03,0.232E-03
2426,4.02,4.43,2.481E-01,0.079E-01,0.021E-01,0.061E-01,8.571E-03,0.272E-03,0.086E-03,0.231E-03
2426,4.43,4.88,2.058E-01,0.062E-01,0.018E-01,0.050E-01,8.553E-03,0.257E-03,0.086E-03,0.229E-03
2426,4.88,5.37,1.750E-01,0.051E-01,0.016E-01,0.042E-01,8.714E-03,0.253E-03,0.089E-03,0.231E-03
2426,5.37,5.90,1.405E-01,0.041E-01,0.012E-01,0.034E-01,8.492E-03,0.251E-03,0.087E-03,0.224E-03
2426,5.90,6.47,1.162E-01,0.035E-01,0.010E-01,0.028E-01,8.562E-03,0.255E-03,0.087E-03,0.224E-03
2426,6.47,7.09,8.734E-02,0.269E-02,0.078E-02,0.206E-02,7.862E-03,0.242E-03,0.081E-03,0.205E-03
2426,7.09,7.76,7.896E-02,0.230E-02,0.071E-02,0.185E-02,8.723E-03,0.255E-03,0.090E-03,0.227E-03
2426,7.76,8.48,6.038E-02,0.183E-02,0.055E-02,0.141E-02,8.182E-03,0.250E-03,0.085E-03,0.212E-03
2426,8.48,9.26,4.828E-02,0.152E-02,0.045E-02,0.112E-02,8.067E-03,0.254E-03,0.085E-03,0.208E-03
2426,9.26,10.1,3.891E-02,0.128E-02,0.037E-02,0.090E-02,8.006E-03,0.264E-03,0.085E-03,0.206E-03
2426,10.1,11.0,3.119E-02,0.108E-02,0.030E-02,0.072E-02,7.878E-03,0.274E-03,0.085E-03,0.202E-03
2426,11.0,12.0,2.458E-02,0.089E-02,0.024E-02,0.056E-02,7.681E-03,0.281E-03,0.083E-03,0.196E-03
2426,12.0,13.0,2.014E-02,0.079E-02,0.020E-02,0.046E-02,7.695E-03,0.304E-03,0.084E-03,0.197E-03
2426,13.0,14.1,1.609E-02,0.066E-02,0.016E-02,0.037E-02,7.550E-03,0.312E-03,0.082E-03,0.193E-03
2426,14.1,15.3,1.308E-02,0.056E-02,0.013E-02,0.030E-02,7.515E-03,0.323E-03,0.081E-03,0.192E-03
2426,15.3,16.6,1.135E-02,0.049E-02,0.011E-02,0.026E-02,8.026E-03,0.346E-03,0.088E-03,0.205E-03
2426,16.6,18.0,8.107E-03,0.384E-03,0.083E-03,0.184E-03,7.043E-03,0.335E-03,0.080E-03,0.180E-03
2426,18.0,19.5,7.071E-03,0.331E-03,0.071E-03,0.160E-03,7.570E-03,0.356E-03,0.085E-03,0.194E-03
2426,19.5,21.1,5.254E-03,0.263E-03,0.051E-03,0.119E-03,6.929E-03,0.348E-03,0.076E-03,0.178E-03
2426,21.1,22.8,4.025E-03,0.213E-03,0.040E-03,0.092E-03,6.486E-03,0.344E-03,0.071E-03,0.167E-03
2426,22.8,24.7,3.161E-03,0.171E-03,0.031E-03,0.072E-03,6.300E-03,0.342E-03,0.070E-03,0.163E-03
2426,24.7,26.7,2.682E-03,0.148E-03,0.027E-03,0.062E-03,6.554E-03,0.362E-03,0.073E-03,0.171E-03
2426,26.7,28.8,2.164E-03,0.126E-03,0.022E-03,0.050E-03,6.486E-03,0.379E-03,0.073E-03,0.170E-03
2426,28.8,31.1,1.801E-03,0.108E-03,0.018E-03,0.042E-03,6.615E-03,0.398E-03,0.075E-03,0.174E-03
2426,31.1,33.5,1.450E-03,0.094E-03,0.015E-03,0.034E-03,6.567E-03,0.426E-03,0.075E-03,0.174E-03
2426,33.5,36.1,1.040E-03,0.076E-03,0.011E-03,0.025E-03,5.717E-03,0.419E-03,0.066E-03,0.153E-03
2426,36.1,38.9,9.286E-04,0.691E-04,0.097E-04,0.221E-04,6.255E-03,0.467E-03,0.073E-03,0.169E-03
2426,38.9,41.9,7.686E-04,0.607E-04,0.082E-04,0.184E-04,6.351E-03,0.503E-03,0.074E-03,0.173E-03
2426,41.9,45.1,5.289E-04,0.487E-04,0.057E-04,0.128E-04,5.322E-03,0.491E-03,0.063E-03,0.146E-03
2426,45.1,48.5,4.790E-04,0.449E-04,0.052E-04,0.117E-04,5.863E-03,0.551E-03,0.070E-03,0.162E-03
2426,48.5,52.2,4.195E-04,0.403E-04,0.046E-04,0.103E-04,6.345E-03,0.611E-03,0.076E-03,0.177E-03
2426,52.2,56.1,2.656E-04,0.312E-04,0.029E-04,0.066E-04,4.905E-03,0.577E-03,0.059E-03,0.138E-03
2426,56.1,60.3,1.937E-04,0.256E-04,0.021E-04,0.048E-04,4.425E-03,0.587E-03,0.053E-03,0.126E-03
2427,1.92,2.15,5.239E-01,0.196E-01,0.059E-01,0.165E-01,7.565E-03,0.284E-03,0.098E-03,0.264E-03
2427,2.15,2.40,4.984E-01,0.168E-01,0.043E-01,0.141E-01,7.880E-03,0.267E-03,0.083E-03,0.245E-03
2427,2.40,2.67,4.581E-01,0.140E-01,0.032E-01,0.124E-01,8.037E-03,0.246E-03,0.071E-03,0.237E-03
2427,2.67,2.97,4.010E-01,0.117E-01,0.032E-01,0.109E-01,7.920E-03,0.232E-03,0.075E-03,0.233E-03
2427,2.97,3.29,3.773E-01,0.102E-01,0.032E-01,0.100E-01,8.521E-03,0.231E-03,0.085E-03,0.244E-03
2427,3.29,3.64,3.413E-01,0.087E-01,0.024E-01,0.087E-01,8.899E-03,0.228E-03,0.077E-03,0.247E-03
2427,3.64,4.02,2.934E-01,0.074E-01,0.020E-01,0.073E-01,8.979E-03,0.226E-03,0.075E-03,0.244E-03
2427,4.02,4.43,2.438E-01,0.060E-01,0.016E-01,0.060E-01,8.825E-03,0.218E-03,0.073E-03,0.237E-03
2427,4.43,4.88,2.032E-01,0.048E-01,0.014E-01,0.050E-01,8.764E-03,0.206E-03,0.073E-03,0.234E-03
2427,4.88,5.37,1.683E-01,0.039E-01,0.012E-01,0.041E-01,8.742E-03,0.203E-03,0.074E-03,0.232E-03
2427,5.37,5.90,1.386E-01,0.032E-01,0.010E-01,0.033E-01,8.675E-03,0.202E-03,0.074E-03,0.229E-03
2427,5.90,6.47,1.114E-01,0.026E-01,0.008E-01,0.027E-01,8.492E-03,0.201E-03,0.073E-03,0.223E-03
2427,6.47,7.09,9.704E-02,0.221E-02,0.071E-02,0.229E-02,8.990E-03,0.205E-03,0.079E-03,0.235E-03
2427,7.09,7.76,7.621E-02,0.177E-02,0.056E-02,0.179E-02,8.656E-03,0.202E-03,0.076E-03,0.225E-03
2427,7.76,8.48,5.864E-02,0.143E-02,0.044E-02,0.137E-02,8.172E-03,0.199E-03,0.072E-03,0.211E-03
2427,8.48,9.26,4.756E-02,0.119E-02,0.036E-02,0.110E-02,8.142E-03,0.205E-03,0.073E-03,0.210E-03
2427,9.26,10.1,3.748E-02,0.100E-02,0.029E-02,0.087E-02,7.874E-03,0.210E-03,0.072E-03,0.202E-03
2427,10.1,11.0,3.095E-02,0.086E-02,0.025E-02,0.071E-02,7.979E-03,0.222E-03,0.074E-03,0.205E-03
2427,11.0,12.0,2.556E-02,0.072E-02,0.021E-02,0.059E-02,8.123E-03,0.231E-03,0.076E-03,0.208E-03
2427,12.0,13.0,2.072E-02,0.064E-02,0.017E-02,0.047E-02,8.071E-03,0.250E-03,0.076E-03,0.206E-03
2427,13.0,14.1,1.603E-02,0.053E-02,0.013E-02,0.036E-02,7.584E-03,0.249E-03,0.073E-03,0.194E-03
2427,14.1,15.3,1.284E-02,0.044E-02,0.011E-02,0.029E-02,7.454E-03,0.256E-03,0.073E-03,0.190E-03
2427,15.3,16.6,9.612E-03,0.356E-03,0.091E-03,0.218E-03,6.915E-03,0.257E-03,0.073E-03,0.177E-03
2427,16.6,18.0,7.920E-03,0.301E-03,0.080E-03,0.179E-03,6.954E-03,0.265E-03,0.077E-03,0.178E-03
2427,18.0,19.5,6.269E-03,0.247E-03,0.060E-03,0.142E-03,6.799E-03,0.269E-03,0.073E-03,0.174E-03
