date YYYY-MM-DD,rigidity_min GV,rigidity_max GV,helium_flux m^-2sr^-1s^-1GV^-1,helium_flux_error_statistical m^-2sr^-1s^-1GV^-1,helium_flux_error_timedependent m^-2sr^-1s^-1GV^-1,helium_flux_error_systematic_total m^-2sr^-1s^-1GV^-1,helium_to_proton_ratio,helium_to_proton_ratio_error_statistical,helium_to_proton_ratio_error_timedependent,helium_to_proton_ratio_error_systematic_total
2011-05-20,1.71,1.92,8.770e1,0.180e1,0.046e1,0.176e1,0.1186,0.0026,0.0008,0.0029
2011-05-20,1.92,2.15,8.071e1,0.153e1,0.040e1,0.128e1,0.1281,0.0026,0.0008,0.0026
2011-05-20,2.15,2.40,7.360e1,0.134e1,0.036e1,0.101e1,0.1341,0.0026,0.0008,0.0024
2011-05-20,2.40,2.67,6.613e1,0.113e1,0.031e1,0.083e1,0.1429,0.0026,0.0009,0.0024
2011-05-20,2.67,2.97,5.754e1,0.094e1,0.026e1,0.069e1,0.1465,0.0026,0.0009,0.0023
2011-05-20,2.97,3.29,4.802e1,0.081e1,0.020e1,0.056e1,0.1465,0.0027,0.0008,0.0022
2011-05-20,3.29,3.64,4.218e1,0.070e1,0.018e1,0.049e1,0.1534,0.0027,0.0009,0.0023
2011-05-20,3.64,4.02,3.556e1,0.056e1,0.015e1,0.041e1,0.1581,0.0027,0.0009,0.0023
2011-05-20,4.02,4.43,2.966e1,0.045e1,0.012e1,0.034e1,0.1609,0.0026,0.0009,0.0023
2011-05-20,4.43,4.88,2.474e1,0.038e1,0.010e1,0.028e1,0.1649,0.0027,0.0009,0.0024
2011-05-20,4.88,5.37,2.067e1,0.031e1,0.008e1,0.024e1,0.1697,0.0028,0.0009,0.0024
2011-05-20,5.37,5.90,1.686e1,0.026e1,0.006e1,0.019e1,0.1703,0.0028,0.0009,0.0024
2011-05-20,5.90,6.47,1.390e1,0.022e1,0.005e1,0.016e1,0.1743,0.0030,0.0009,0.0025
2011-05-20,6.47,7.09,1.138e1,0.018e1,0.004e1,0.013e1,0.1756,0.0030,0.0009,0.0025
2011-05-20,7.09,7.76,9.522e0,0.150e0,0.035e0,0.112e0,0.1837,0.0031,0.0010,0.0026
2011-05-20,7.76,8.48,7.723e0,0.126e0,0.029e0,0.091e0,0.1873,0.0033,0.0010,0.0027
2011-05-20,8.48,9.26,6.262e0,0.107e0,0.023e0,0.074e0,0.1846,0.0034,0.0010,0.0026
2011-05-20,9.26,10.1,5.108e0,0.091e0,0.019e0,0.061e0,0.1914,0.0037,0.0010,0.0027
2011-05-20,10.1,11.0,3.858e0,0.075e0,0.014e0,0.046e0,0.1812,0.0038,0.0010,0.0026
2011-05-20,11.0,13.0,3.009e0,0.044e0,0.011e0,0.036e0,0.1930,0.0031,0.0010,0.0028
2011-05-20,13.0,16.6,1.800e0,0.024e0,0.007e0,0.022e0,0.1951,0.0028,0.0010,0.0028
2011-05-20,16.6,22.8,8.766e-1,0.107e-1,0.032e-1,0.110e-1,0.2023,0.0027,0.0011,0.0029
2011-05-20,22.8,33.5,3.408e-1,0.044e-1,0.013e-1,0.044e-1,0.2052,0.0029,0.0011,0.0030
2011-05-20,33.5,48.5,1.268e-1,0.023e-1,0.005e-1,0.017e-1,0.2168,0.0042,0.0012,0.0032
2011-05-20,48.5,69.7,4.723e-2,0.116e-2,0.017e-2,0.068e-2,0.2271,0.0061,0.0014,0.0034
2011-05-20,69.7,100.0,1.619e-2,0.055e-2,0.006e-2,0.026e-2,0.2122,0.0080,0.0016,0.0033
2011-05-21,1.71,1.92,8.862e1,0.170e1,0.046e1,0.178e1,0.1185,0.0024,0.0007,0.0029
2011-05-21,1.92,2.15,7.902e1,0.140e1,0.039e1,0.125e1,0.1219,0.0023,0.0007,0.0024
2011-05-21,2.15,2.40,6.988e1,0.119e1,0.032e1,0.095e1,0.1262,0.0023,0.0007,0.0022
2011-05-21,2.40,2.67,6.548e1,0.100e1,0.031e1,0.082e1,0.1397,0.0023,0.0008,0.0023
2011-05-21,2.67,2.97,5.742e1,0.082e1,0.026e1,0.069e1,0.1455,0.0022,0.0008,0.0023
2011-05-21,2.97,3.29,4.941e1,0.071e1,0.022e1,0.058e1,0.1517,0.0023,0.0008,0.0023
2011-05-21,3.29,3.64,4.310e1,0.058e1,0.019e1,0.050e1,0.1585,0.0023,0.0008,0.0023
2011-05-21,3.64,4.02,3.569e1,0.046e1,0.015e1,0.041e1,0.1586,0.0022,0.0008,0.0023
2011-05-21,4.02,4.43,2.990e1,0.037e1,0.012e1,0.034e1,0.1620,0.0022,0.0008,0.0023
2011-05-21,4.43,4.88,2.531e1,0.031e1,0.010e1,0.029e1,0.1692,0.0023,0.0008,0.0024
2011-05-21,4.88,5.37,2.081e1,0.026e1,0.008e1,0.024e1,0.1704,0.0023,0.0008,0.0024
2011-05-21,5.37,5.90,1.690e1,0.022e1,0.006e1,0.020e1,0.1729,0.0024,0.0008,0.0024
2011-05-21,5.90,6.47,1.376e1,0.018e1,0.005e1,0.016e1,0.1757,0.0025,0.0008,0.0025
2011-05-21,6.47,7.09,1.128e1,0.015e1,0.004e1,0.013e1,0.1791,0.0026,0.0008,0.0025
2011-05-21,7.09,7.76,9.340e0,0.123e0,0.035e0,0.109e0,0.1847,0.0026,0.0009,0.0026
2011-05-21,7.76,8.48,7.810e0,0.105e0,0.029e0,0.092e0,0.1907,0.0028,0.0009,0.0027
2011-05-21,8.48,9.26,6.235e0,0.089e0,0.023e0,0.074e0,0.1913,0.0030,0.0009,0.0027
2011-05-21,9.26,10.1,4.900e0,0.075e0,0.018e0,0.058e0,0.1865,0.0031,0.0009,0.0026
2011-05-21,10.1,11.0,4.126e0,0.065e0,0.015e0,0.049e0,0.1934,0.0033,0.0009,0.0027
2011-05-21,11.0,13.0,3.035e0,0.036e0,0.011e0,0.037e0,0.1983,0.0026,0.0009,0.0028
2011-05-21,13.0,16.6,1.795e0,0.019e0,0.007e0,0.022e0,0.2003,0.0024,0.0009,0.0028
2011-05-21,16.6,22.8,8.893e-1,0.090e-1,0.033e-1,0.112e-1,0.2075,0.0023,0.0010,0.0030
2011-05-21,22.8,33.5,3.479e-1,0.038e-1,0.013e-1,0.045e-1,0.2124,0.0025,0.0010,0.0030
2011-05-21,33.5,48.5,1.253e-1,0.019e-1,0.005e-1,0.017e-1,0.2194,0.0036,0.0011,0.0032
2011-05-21,48.5,69.7,4.596e-2,0.095e-2,0.017e-2,0.066e-2,0.2235,0.0051,0.0013,0.0033
2011-05-21,69.7,100.0,1.719e-2,0.048e-2,0.006e-2,0.028e-2,0.2314,0.0071,0.0016,0.0035
2011-05-22,1.71,1.92,8.439e1,0.155e1,0.047e1,0.171e1,0.1163,0.0022,0.0008,0.0028
2011-05-22,1.92,2.15,7.744e1,0.131e1,0.037e1,0.122e1,0.1236,0.0022,0.0007,0.0025
2011-05-22,2.15,2.40,7.209e1,0.116e1,0.035e1,0.098e1,0.1318,0.0023,0.0008,0.0023
2011-05-22,2.40,2.67,6.404e1,0.098e1,0.030e1,0.080e1,0.1400,0.0023,0.0008,0.0023
2011-05-22,2.67,2.97,5.659e1,0.082e1,0.025e1,0.068e1,0.1459,0.0023,0.0008,0.0023
