bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,lithium_flux m^-2sr^-1s^-1GV^-1,lithium_flux_error_statistical m^-2sr^-1s^-1GV^-1,lithium_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,lithium_flux_error_time_independent m^-2sr^-1s^-1GV^-1,lithium_to_helium_ratio,lithium_to_helium_ratio_error_statistical,lithium_to_helium_ratio_error_time_dependent,lithium_to_helium_ratio_error_time_independent
2426,1.92,2.15,2.998E-01,0.181E-01,0.060E-01,0.071E-01,3.988E-03,0.242E-03,0.084E-03,0.112E-03
2426,2.15,2.40,2.953E-01,0.159E-01,0.037E-01,0.062E-01,4.336E-03,0.234E-03,0.060E-03,0.106E-03
2426,2.40,2.67,2.760E-01,0.137E-01,0.028E-01,0.057E-01,4.518E-03,0.224E-03,0.053E-03,0.107E-03
2426,2.67,2.97,2.532E-01,0.118E-01,0.028E-01,0.052E-01,4.695E-03,0.219E-03,0.057E-03,0.109E-03
2426,2.97,3.29,2.551E-01,0.107E-01,0.030E-01,0.052E-01,5.434E-03,0.229E-03,0.070E-03,0.125E-03
2426,3.29,3.64,2.273E-01,0.091E-01,0.023E-01,0.046E-01,5.626E-03,0.226E-03,0.065E-03,0.130E-03
2426,3.64,4.02,2.055E-01,0.079E-01,0.019E-01,0.042E-01,6.012E-03,0.231E-03,0.065E-03,0.139E-03
2426,4.02,4.43,1.661E-01,0.064E-01,0.015E-01,0.034E-01,5.739E-03,0.220E-03,0.061E-03,0.133E-03
2426,4.43,4.88,1.371E-01,0.050E-01,0.013E-01,0.028E-01,5.698E-03,0.208E-03,0.061E-03,0.133E-03
2426,4.88,5.37,1.245E-01,0.042E-01,0.012E-01,0.026E-01,6.199E-03,0.212E-03,0.067E-03,0.147E-03
2426,5.37,5.90,9.977E-02,0.347E-02,0.095E-02,0.216E-02,6.031E-03,0.210E-03,0.065E-03,0.146E-03
