bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,carbon_flux m^-2sr^-1s^-1GV^-1,carbon_flux_error_statistical m^-2sr^-1s^-1GV^-1,carbon_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,carbon_flux_error_time_independent m^-2sr^-1s^-1GV^-1,carbon_to_helium_ratio,carbon_to_helium_ratio_error_statistical,carbon_to_helium_ratio_error_time_dependent,carbon_to_helium_ratio_error_time_independent
2426,1.92,2.15,1.936,0.052,0.028,0.046,2.575E-02,0.069E-02,0.041E-02,0.073E-02
2426,2.15,2.40,1.910,0.046,0.016,0.043,2.805E-02,0.068E-02,0.028E-02,0.073E-02
2426,2.40,2.67,1.592,0.036,0.009,0.034,2.606E-02,0.059E-02,0.021E-02,0.063E-02
2426,2.67,2.97,1.418,0.030,0.009,0.029,2.629E-02,0.056E-02,0.022E-02,0.062E-02
2426,2.97,3.29,1.292,0.026,0.007,0.027,2.752E-02,0.056E-02,0.021E-02,0.066E-02
2426,3.29,3.64,1.092,0.021,0.005,0.023,2.703E-02,0.053E-02,0.019E-02,0.063E-02
2426,3.64,4.02,9.559E-01,0.180E-01,0.041E-01,0.195E-01,2.795E-02,0.053E-02,0.019E-02,0.064E-02
2426,4.02,4.43,8.103E-01,0.149E-01,0.035E-01,0.163E-01,2.800E-02,0.052E-02,0.019E-02,0.064E-02
2426,4.43,4.88,6.537E-01,0.115E-01,0.029E-01,0.131E-01,2.717E-02,0.048E-02,0.018E-02,0.062E-02
2426,4.88,5.37,5.548E-01,0.095E-01,0.025E-01,0.111E-01,2.763E-02,0.048E-02,0.019E-02,0.063E-02
2426,5.37,5.90,4.750E-01,0.080E-01,0.022E-01,0.096E-01,2.871E-02,0.049E-02,0.020E-02,0.066E-02
2426,5.90,6.47,3.977E-01,0.067E-01,0.019E-01,0.080E-01,2.930E-02,0.050E-02,0.020E-02,0.067E-02
2426,6.47,7.09,3.179E-01,0.054E-01,0.015E-01,0.064E-01,2.861E-02,0.049E-02,0.020E-02,0.066E-02
2426,7.09,7.76,2.651E-01,0.044E-01,0.013E-01,0.053E-01,2.928E-02,0.050E-02,0.020E-02,0.067E-02
2426,7.76,8.48,2.126E-01,0.036E-01,0.010E-01,0.043E-01,2.881E-02,0.050E-02,0.020E-02,0.066E-02
2426,8.48,9.26,1.707E-01,0.030E-01,0.009E-01,0.034E-01,2.852E-02,0.051E-02,0.020E-02,0.066E-02
2426,9.26,10.1,1.455E-01,0.026E-01,0.008E-01,0.029E-01,2.993E-02,0.054E-02,0.022E-02,0.069E-02
2426,10.1,11.0,1.189E-01,0.022E-01,0.006E-01,0.024E-01,3.003E-02,0.057E-02,0.022E-02,0.070E-02
2426,11.0,12.0,9.170E-02,0.182E-02,0.049E-02,0.185E-02,2.866E-02,0.058E-02,0.021E-02,0.066E-02
2426,12.0,13.0,7.962E-02,0.167E-02,0.043E-02,0.161E-02,3.042E-02,0.064E-02,0.022E-02,0.071E-02
