begin date YYYY-MM-DD,end date YYYY-MM-DD,rigidity_min GV,rigidity_max GV,D_flux m^-2sr^-1s^-1GV^-1,D_flux_error_statistical m^-2sr^-1s^-1GV^-1,D_flux_error_timedependent m^-2sr^-1s^-1GV^-1,D_flux_error_systematic m^-2sr^-1s^-1GV^-1,3He_flux m^-2sr^-1s^-1GV^-1,3He_flux_error_statistical m^-2sr^-1s^-1GV^-1,3He_flux_error_timedependent m^-2sr^-1s^-1GV^-1,3He_flux_error_systematic m^-2sr^-1s^-1GV^-1,4He_flux m^-2sr^-1s^-1GV^-1,4He_flux_error_statistical m^-2sr^-1s^-1GV^-1,4He_flux_error_timedependent m^-2sr^-1s^-1GV^-1,4He_flux_error_systematic m^-2sr^-1s^-1GV^-1,D_to_4He_ratio,D_to_4He_ratio_error_statistical,D_to_4He_ratio_error_timedependent,D_to_4He_ratio_error_systematic,3He_to_4He_ratio,3He_to_4He_ratio_error_statistical,3He_to_4He_ratio_error_timedependent,3He_to_4He_ratio_error_systematic
2011-05-20,2011-08-30,1.92,2.15,1.121e1,0.009e1,0.004e1,0.045e1,9.393,0.104,0.103,0.121,6.064e1,0.022e1,0.067e1,0.094e1,1.849e-1,0.016e-1,0.021e-1,0.080e-1,1.549e-1,0.018e-1,0.024e-1,0.031e-1
2011-05-20,2011-08-30,2.15,2.40,9.579,0.081,0.080,0.376,8.939,0.094,0.098,0.123,5.561e1,0.020e1,0.061e1,0.084e1,1.723e-1,0.016e-1,0.024e-1,0.081e-1,1.607e-1,0.018e-1,0.025e-1,0.033e-1
2011-05-20,2011-08-30,2.40,2.67,8.762,0.122,0.067,0.331,8.295,0.088,0.091,0.165,5.162e1,0.018e1,0.057e1,0.076e1,1.697e-1,0.024e-1,0.023e-1,0.099e-1,1.607e-1,0.018e-1,0.025e-1,0.035e-1
2011-05-20,2011-08-30,2.67,2.97,7.837,0.154,0.054,0.281,7.388,0.089,0.081,0.166,4.686e1,0.017e1,0.052e1,0.067e1,1.672e-1,0.033e-1,0.022e-1,0.070e-1,1.577e-1,0.020e-1,0.025e-1,0.036e-1
2011-05-20,2011-08-30,2.97,3.29,6.210,0.174,0.068,0.228,6.087,0.097,0.067,0.154,3.925e1,0.015e1,0.043e1,0.056e1,1.582e-1,0.045e-1,0.025e-1,0.067e-1,1.551e-1,0.025e-1,0.024e-1,0.040e-1
2011-05-20,2011-08-30,3.29,3.64,5.570,0.120,0.061,0.227,5.268,0.103,0.058,0.139,3.442e1,0.015e1,0.038e1,0.053e1,1.618e-1,0.036e-1,0.025e-1,0.080e-1,1.530e-1,0.031e-1,0.024e-1,0.040e-1
2011-05-20,2011-08-30,3.64,4.02,4.858,0.094,0.053,0.217,4.475,0.103,0.049,0.119,2.977e1,0.015e1,0.033e1,0.047e1,1.632e-1,0.033e-1,0.025e-1,0.087e-1,1.503e-1,0.036e-1,0.023e-1,0.039e-1
2011-05-20,2011-08-30,4.02,4.43,4.094,0.078,0.045,0.181,3.749,0.092,0.041,0.099,2.541e1,0.017e1,0.028e1,0.041e1,1.611e-1,0.032e-1,0.025e-1,0.085e-1,1.475e-1,0.037e-1,0.023e-1,0.038e-1
2011-05-20,2011-08-30,4.43,4.88,3.468,0.066,0.038,0.154,3.103,0.068,0.034,0.078,2.151e1,0.018e1,0.024e1,0.035e1,1.612e-1,0.034e-1,0.025e-1,0.085e-1,1.443e-1,0.034e-1,0.022e-1,0.036e-1
2011-05-20,2011-08-30,4.88,5.37,2.710,0.059,0.030,0.122,2.302,0.037,0.025,0.053,1.648e1,0.017e1,0.018e1,0.026e1,1.645e-1,0.040e-1,0.026e-1,0.092e-1,1.397e-1,0.027e-1,0.022e-1,0.035e-1
2011-05-20,2011-08-30,5.37,5.90,2.279,0.041,0.025,0.103,1.820,0.021,0.020,0.032,1.370e1,0.015e1,0.015e1,0.021e1,1.663e-1,0.035e-1,0.026e-1,0.091e-1,1.328e-1,0.021e-1,0.021e-1,0.028e-1
2011-05-20,2011-08-30,5.90,6.47,1.859,0.032,0.020,0.083,1.474,0.014,0.016,0.023,1.133e1,0.011e1,0.012e1,0.016e1,1.641e-1,0.033e-1,0.026e-1,0.088e-1,1.302e-1,0.018e-1,0.020e-1,0.025e-1
2011-05-20,2011-08-30,6.47,7.09,1.486,0.024,0.016,0.060,1.199,0.011,0.013,0.018,9.327,0.066,0.103,0.121,1.593e-1,0.028e-1,0.025e-1,0.078e-1,1.286e-1,0.015e-1,0.020e-1,0.025e-1
2011-05-20,2011-08-30,7.09,7.76,1.280,0.015,0.014,0.046,9.697e-1,0.085e-1,0.107e-1,0.164e-1,7.904,0.038,0.087,0.092,1.620e-1,0.021e-1,0.025e-1,0.056e-1,1.227e-1,0.012e-1,0.019e-1,0.027e-1
2011-05-20,2011-08-30,7.76,8.48,1.025,0.011,0.011,0.033,7.823e-1,0.070e-1,0.086e-1,0.150e-1,6.493,0.025,0.071,0.075,1.578e-1,0.017e-1,0.025e-1,0.063e-1,1.205e-1,0.012e-1,0.019e-1,0.029e-1
2011-05-20,2011-08-30,8.48,9.26,8.340e-1,0.076e-1,0.092e-1,0.253e-1,6.239e-1,0.059e-1,0.069e-1,0.128e-1,5.320,0.019,0.059,0.062,1.568e-1,0.015e-1,0.024e-1,0.060e-1,1.173e-1,0.012e-1,0.018e-1,0.030e-1
2011-05-20,2011-08-30,9.26,10.1,6.594e-1,0.053e-1,0.063e-1,0.198e-1,4.975e-1,0.050e-1,0.055e-1,0.106e-1,4.356,0.016,0.048,0.055,1.514e-1,0.013e-1,0.022e-1,0.058e-1,1.142e-1,0.012e-1,0.018e-1,0.031e-1
2011-05-20,2011-08-30,10.1,11.0,5.443e-1,0.043e-1,0.040e-1,0.156e-1,3.976e-1,0.042e-1,0.044e-1,0.086e-1,3.559,0.013,0.039,0.050,1.529e-1,0.013e-1,0.020e-1,0.057e-1,1.117e-1,0.012e-1,0.017e-1,0.031e-1
2011-05-20,2011-08-30,11.0,12.0,4.382e-1,0.035e-1,0.024e-1,0.126e-1,3.119e-1,0.036e-1,0.034e-1,0.066e-1,2.897,0.011,0.032,0.043,1.513e-1,0.014e-1,0.019e-1,0.057e-1,1.077e-1,0.013e-1,0.017e-1,0.030e-1
2011-05-20,2011-08-30,12.0,13.0,3.537e-1,0.030e-1,0.017e-1,0.101e-1,2.511e-1,0.031e-1,0.028e-1,0.052e-1,2.372,0.010,0.026,0.035,1.491e-1,0.014e-1,0.018e-1,0.056e-1,1.059e-1,0.014e-1,0.016e-1,0.029e-1
2011-05-20,2011-08-30,13.0,14.1,2.874e-1,0.025e-1,0.009e-1,0.082e-1,2.033e-1,0.027e-1,0.022e-1,0.043e-1,1.951,0.009,0.021,0.028,1.473e-1,0.015e-1,0.017e-1,0.055e-1,1.042e-1,0.014e-1,0.016e-1,0.027e-1
2011-05-20,2011-08-30,14.1,15.3,2.326e-1,0.022e-1,0.014e-1,0.066e-1,1.623e-1,0.023e-1,0.018e-1,0.036e-1,1.600,0.007,0.018,0.022,1.454e-1,0.015e-1,0.018e-1,0.054e-1,1.014e-1,0.015e-1,0.016e-1,0.025e-1
2011-05-20,2011-08-30,15.3,16.6,1.878e-1,0.016e-1,0.018e-1,0.054e-1,1.298e-1,0.020e-1,0.014e-1,0.029e-1,1.313,0.006,0.014,0.017,1.430e-1,0.014e-1,0.021e-1,0.052e-1,9.882e-2,0.159e-2,0.154e-2,0.222e-2
2011-05-20,2011-08-30,16.6,18.0,1.514e-1,0.013e-1,0.017e-1,0.043e-1,1.044e-1,0.017e-1,0.011e-1,0.023e-1,1.077,0.006,0.012,0.013,1.406e-1,0.014e-1,0.022e-1,0.050e-1,9.694e-2,0.166e-2,0.151e-2,0.211e-2
2011-05-20,2011-08-30,18.0,19.5,1.223e-1,0.011e-1,0.013e-1,0.035e-1,8.447e-2,0.148e-2,0.093e-2,0.237e-2,8.837e-1,0.049e-1,0.097e-1,0.082e-1,1.384e-1,0.015e-1,0.022e-1,0.048e-1,9.559e-2,0.176e-2,0.149e-2,0.222e-2
