bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,nitrogen_flux m^-2sr^-1s^-1GV^-1,nitrogen_flux_error_statistical m^-2sr^-1s^-1GV^-1,nitrogen_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,nitrogen_flux_error_time_independent m^-2sr^-1s^-1GV^-1,nitrogen_to_helium_ratio,nitrogen_to_helium_ratio_error_statistical,nitrogen_to_helium_ratio_error_time_dependent,nitrogen_to_helium_ratio_error_time_independent
2426,1.92,2.15,4.882E-01,0.265E-01,0.136E-01,0.107E-01,6.495E-03,0.353E-03,0.186E-03,0.173E-03
2426,2.15,2.40,4.768E-01,0.230E-01,0.069E-01,0.106E-01,7.001E-03,0.338E-03,0.110E-03,0.180E-03
2426,2.40,2.67,4.215E-01,0.186E-01,0.047E-01,0.088E-01,6.899E-03,0.306E-03,0.086E-03,0.165E-03
2426,2.67,2.97,3.687E-01,0.154E-01,0.033E-01,0.075E-01,6.836E-03,0.287E-03,0.072E-03,0.159E-03
2426,2.97,3.29,3.310E-01,0.131E-01,0.037E-01,0.068E-01,7.050E-03,0.281E-03,0.087E-03,0.163E-03
2426,3.29,3.64,2.907E-01,0.110E-01,0.024E-01,0.059E-01,7.196E-03,0.274E-03,0.072E-03,0.166E-03
2426,3.64,4.02,2.665E-01,0.096E-01,0.021E-01,0.054E-01,7.794E-03,0.281E-03,0.074E-03,0.180E-03
2426,4.02,4.43,2.269E-01,0.079E-01,0.018E-01,0.046E-01,7.840E-03,0.275E-03,0.073E-03,0.181E-03
2426,4.43,4.88,1.914E-01,0.063E-01,0.015E-01,0.039E-01,7.957E-03,0.262E-03,0.074E-03,0.185E-03
2426,4.88,5.37,1.505E-01,0.050E-01,0.013E-01,0.031E-01,7.493E-03,0.249E-03,0.073E-03,0.175E-03
2426,5.37,5.90,1.248E-01,0.041E-01,0.010E-01,0.026E-01,7.543E-03,0.251E-03,0.073E-03,0.178E-03
2426,5.90,6.47,1.053E-01,0.035E-01,0.008E-01,0.022E-01,7.761E-03,0.257E-03,0.074E-03,0.184E-03
2426,6.47,7.09,8.225E-02,0.275E-02,0.069E-02,0.173E-02,7.404E-03,0.248E-03,0.072E-03,0.176E-03
2426,7.09,7.76,6.582E-02,0.221E-02,0.055E-02,0.139E-02,7.271E-03,0.245E-03,0.071E-03,0.174E-03
2426,7.76,8.48,5.369E-02,0.182E-02,0.044E-02,0.114E-02,7.276E-03,0.248E-03,0.070E-03,0.174E-03
2426,8.48,9.26,4.731E-02,0.158E-02,0.039E-02,0.100E-02,7.905E-03,0.265E-03,0.076E-03,0.189E-03
2426,9.26,10.1,3.880E-02,0.135E-02,0.032E-02,0.082E-02,7.984E-03,0.278E-03,0.077E-03,0.191E-03
2426,10.1,11.0,2.970E-02,0.112E-02,0.025E-02,0.063E-02,7.503E-03,0.283E-03,0.072E-03,0.180E-03
2426,11.0,12.0,2.434E-02,0.094E-02,0.020E-02,0.051E-02,7.609E-03,0.295E-03,0.074E-03,0.182E-03
2426,12.0,13.0,1.941E-02,0.082E-02,0.016E-02,0.041E-02,7.416E-03,0.315E-03,0.072E-03,0.177E-03
2426,13.0,14.1,1.620E-02,0.070E-02,0.014E-02,0.034E-02,7.603E-03,0.331E-03,0.074E-03,0.181E-03
2426,14.1,15.3,1.300E-02,0.059E-02,0.011E-02,0.027E-02,7.466E-03,0.339E-03,0.073E-03,0.178E-03
2426,15.3,16.6,1.041E-02,0.049E-02,0.009E-02,0.022E-02,7.364E-03,0.349E-03,0.072E-03,0.176E-03
2426,16.6,18.0,8.324E-03,0.411E-03,0.071E-03,0.172E-03,7.232E-03,0.358E-03,0.071E-03,0.173E-03
2426,18.0,19.5,7.573E-03,0.362E-03,0.065E-03,0.157E-03,8.108E-03,0.389E-03,0.080E-03,0.194E-03
2426,19.5,21.1,5.020E-03,0.271E-03,0.043E-03,0.104E-03,6.620E-03,0.359E-03,0.066E-03,0.158E-03
2426,21.1,22.8,4.695E-03,0.243E-03,0.041E-03,0.097E-03,7.566E-03,0.393E-03,0.076E-03,0.181E-03
2426,22.8,24.7,3.679E-03,0.195E-03,0.032E-03,0.076E-03,7.332E-03,0.390E-03,0.074E-03,0.176E-03
2426,24.7,26.7,2.948E-03,0.163E-03,0.026E-03,0.061E-03,7.204E-03,0.400E-03,0.073E-03,0.173E-03
2426,26.7,28.8,2.550E-03,0.144E-03,0.023E-03,0.053E-03,7.641E-03,0.434E-03,0.078E-03,0.184E-03
2426,28.8,31.1,1.945E-03,0.118E-03,0.017E-03,0.040E-03,7.143E-03,0.436E-03,0.073E-03,0.172E-03
2426,31.1,33.5,1.586E-03,0.103E-03,0.014E-03,0.033E-03,7.180E-03,0.470E-03,0.074E-03,0.173E-03
2426,33.5,36.1,1.209E-03,0.086E-03,0.011E-03,0.025E-03,6.650E-03,0.477E-03,0.069E-03,0.161E-03
2426,36.1,38.9,1.026E-03,0.077E-03,0.009E-03,0.021E-03,6.911E-03,0.518E-03,0.072E-03,0.167E-03
2426,38.9,41.9,8.692E-04,0.681E-04,0.080E-04,0.179E-04,7.183E-03,0.564E-03,0.075E-03,0.174E-03
2426,41.9,45.1,5.990E-04,0.547E-04,0.055E-04,0.124E-04,6.027E-03,0.552E-03,0.063E-03,0.147E-03
