bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,oxygen_flux m^-2sr^-1s^-1GV^-1,oxygen_flux_error_statistical m^-2sr^-1s^-1GV^-1,oxygen_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,oxygen_flux_error_time_independent m^-2sr^-1s^-1GV^-1,oxygen_to_helium_ratio,oxygen_to_helium_ratio_error_statistical,oxygen_to_helium_ratio_error_time_dependent,oxygen_to_helium_ratio_error_time_independent
2426,1.92,2.15,1.702,0.052,0.037,0.048,2.264E-02,0.069E-02,0.052E-02,0.072E-02
2426,2.15,2.40,1.667,0.046,0.023,0.038,2.447E-02,0.068E-02,0.037E-02,0.064E-02
2426,2.40,2.67,1.472,0.038,0.014,0.034,2.409E-02,0.062E-02,0.026E-02,0.062E-02
2426,2.67,2.97,1.275,0.031,0.007,0.027,2.364E-02,0.058E-02,0.019E-02,0.056E-02
2426,2.97,3.29,1.099,0.026,0.008,0.023,2.341E-02,0.055E-02,0.021E-02,0.055E-02
2426,3.29,3.64,9.869E-01,0.216E-01,0.050E-01,0.202E-01,2.443E-02,0.054E-02,0.018E-02,0.057E-02
2426,3.64,4.02,8.677E-01,0.183E-01,0.041E-01,0.177E-01,2.538E-02,0.054E-02,0.018E-02,0.058E-02
2426,4.02,4.43,7.515E-01,0.153E-01,0.034E-01,0.153E-01,2.596E-02,0.053E-02,0.018E-02,0.060E-02
2426,4.43,4.88,6.282E-01,0.121E-01,0.029E-01,0.128E-01,2.611E-02,0.051E-02,0.018E-02,0.060E-02
2426,4.88,5.37,5.155E-01,0.098E-01,0.025E-01,0.105E-01,2.567E-02,0.049E-02,0.018E-02,0.059E-02
2426,5.37,5.90,4.363E-01,0.082E-01,0.022E-01,0.089E-01,2.637E-02,0.050E-02,0.019E-02,0.061E-02
2426,5.90,6.47,3.765E-01,0.070E-01,0.019E-01,0.077E-01,2.774E-02,0.052E-02,0.020E-02,0.064E-02
2426,6.47,7.09,2.968E-01,0.055E-01,0.015E-01,0.060E-01,2.672E-02,0.050E-02,0.019E-02,0.062E-02
2426,7.09,7.76,2.437E-01,0.045E-01,0.012E-01,0.050E-01,2.693E-02,0.050E-02,0.019E-02,0.063E-02
2426,7.76,8.48,2.011E-01,0.037E-01,0.010E-01,0.041E-01,2.724E-02,0.051E-02,0.020E-02,0.063E-02
