date,J
2011-05-20,274.9
2011-05-21,272.0
2011-05-22,266.0
2011-05-23,272.1
2011-05-24,268.8
2011-05-25,270.1
2011-05-26,269.8
2011-05-27,266.4
2011-05-28,266.3
2011-05-29,258.5
2011-05-30,263.5
2011-05-31,262.0
2011-06-01,265.4
2011-06-02,268.5
2011-06-03,266.4
2011-06-05,250.0
2011-06-06,258.8
2011-06-07,259.3
2011-06-08,259.2
2011-06-09,257.4
2011-06-10,253.5
2011-06-11,239.7
2011-06-12,258.9
2011-06-13,260.7
2011-06-14,256.2
2011-06-15,257.4
2011-06-16,258.0
2011-06-17,251.5
2011-06-18,247.4
2011-06-19,247.7
2011-06-20,252.9
2011-06-21,253.7
2011-06-22,250.9
2011-06-23,239.6
2011-06-24,231.5
2011-06-25,232.7
2011-06-26,239.7
2011-06-27,246.8
2011-06-28,251.3
2011-06-29,251.5
2011-06-30,252.3
2011-07-01,256.8
2011-07-02,254.8
2011-07-03,256.6
2011-07-04,254.6
2011-07-05,256.9
2011-07-06,257.2
2011-07-07,256.2
2011-07-08,259.8
2011-07-09,262.2
2011-07-10,266.2
2011-07-11,254.5
2011-07-12,249.7
2011-07-13,255.0
2011-07-14,257.6
2011-07-15,256.8
2011-07-16,257.3
2011-07-17,261.0
2011-07-18,262.5
2011-07-19,261.2
2011-07-20,256.8
2011-07-21,252.9
2011-07-22,254.3
2011-07-23,256.6
2011-07-24,261.8
2011-07-25,261.9
2011-07-26,264.4
2011-07-27,265.0
2011-07-28,267.1
2011-07-29,265.4
2011-07-30,267.2
2011-07-31,260.9
2011-08-01,259.0
2011-08-02,261.2
2011-08-03,264.3
2011-08-04,263.7
2011-08-05,259.6
2011-08-06,232.6
2011-08-07,243.3
2011-08-08,252.9
2011-08-09,258.4
2011-08-10,258.8
2011-08-11,261.2
2011-08-12,258.1
2011-08-13,258.5
2011-08-14,260.0
2011-08-15,261.7
2011-08-16,257.5
2011-08-17,259.7
2011-08-18,259.3
2011-08-19,261.9
2011-08-20,266.4
2011-08-21,269.0
2011-08-22,269.4
2011-08-23,267.8
2011-08-24,265.4
2011-08-25,266.0
2011-08-26,266.9
2011-08-27,265.6
2011-08-28,266.7
2011-08-29,265.4
2011-08-30,267.7
2011-08-31,269.2
2011-09-01,272.7
2011-09-02,273.4
2011-09-03,271.2
2011-09-04,271.9
2011-09-05,270.7
2011-09-06,273.1
2011-09-07,271.5
2011-09-08,274.5
2011-09-09,269.7
2011-09-10,254.3
2011-09-11,254.5
2011-09-12,251.6
2011-09-13,252.9
2011-09-14,253.3
2011-09-15,256.6
2011-09-16,257.3
2011-09-17,249.1
2011-09-18,242.4
2011-09-19,263.7
2011-09-20,260.3
2011-09-21,261.8
2011-09-22,267.8
2011-09-23,264.7
2011-09-24,267.1
2011-09-25,265.1
2011-09-26,255.5
2011-09-27,226.4
2011-09-28,229.3
2011-09-29,234.1
2011-09-30,237.3
2011-10-01,240.2
2011-10-02,244.3
2011-10-03,245.9
2011-10-04,249.6
2011-10-05,251.3
2011-10-06,247.5
2011-10-07,251.3
2011-10-08,254.6
2011-10-09,249.6
2011-10-10,249.9
2011-10-11,253.5
2011-10-12,249.3
2011-10-13,249.0
2011-10-14,251.0
2011-10-15,245.7
2011-10-16,247.7
2011-10-17,253.0
2011-10-18,256.2
2011-10-19,261.5
2011-10-20,263.7
2011-10-21,264.4
2011-10-22,265.5
2011-10-23,265.8
2011-10-24,265.0
2011-10-25,240.1
2011-10-26,249.1
2011-10-27,254.3
2011-10-28,258.7
2011-10-29,265.8
2011-10-30,266.3
2011-10-31,263.0
2011-11-01,258.0
2011-11-02,252.8
2011-11-03,254.9
2011-11-04,258.6
2011-11-05,261.4
2011-11-06,260.6
2011-11-07,264.2
2011-11-08,261.3
2011-11-09,267.5
2011-11-10,263.9
2011-11-11,258.3
2011-11-12,262.7
2011-11-13,260.5
2011-11-14,263.3
2011-11-15,262.2
2011-11-16,260.8
2011-11-17,260.8
2011-11-18,264.9
2011-11-19,262.7
2011-11-20,268.3
2011-11-21,271.5
2011-11-22,263.4
2011-11-23,259.0
2011-11-24,265.2
2011-11-25,265.2
2011-11-26,266.4
2011-11-27,266.0
2011-11-28,269.2
2011-11-29,260.1
2011-11-30,261.7
2011-12-01,271.4
2011-12-02,270.5
2011-12-03,265.3
2011-12-04,267.8
2011-12-05,269.7
2011-12-06,265.9
2011-12-07,268.8
2011-12-08,266.4
2011-12-09,270.1
2011-12-10,273.8
2011-12-11,269.7
2011-12-12,272.4
2011-12-13,274.8
2011-12-14,277.8
2011-12-15,277.3
2011-12-16,279.3
2011-12-17,280.5
2011-12-18,283.0
2011-12-19,275.0
2011-12-20,272.2
2011-12-21,269.1
2011-12-22,267.8
2011-12-23,265.7
2011-12-24,268.7
2011-12-25,269.0
2011-12-26,267.6
2011-12-27,271.7
2011-12-28,268.6
2011-12-29,266.0
2011-12-30,260.0
2011-12-31,264.3
2012-01-01,266.0
2012-01-02,265.3
2012-01-03,261.5
2012-01-04,261.7
2012-01-05,263.1
2012-01-06,270.7
2012-01-07,269.1
2012-01-08,274.7
2012-01-09,274.9
2012-01-10,273.9
2012-01-11,272.4
2012-01-12,275.7
2012-01-13,272.0
2012-01-14,270.4
2012-01-15,274.4
2012-01-16,268.0
2012-01-17,269.2
2012-01-18,271.2
2012-01-19,271.4
2012-01-20,271.7
2012-01-21,271.3
2012-01-22,265.8
2012-01-23,250.5
2012-01-24,255.2
2012-01-25,242.7
2012-01-26,247.8
2012-01-27,250.6
2012-01-28,252.2
2012-01-29,251.7
2012-01-30,251.4
2012-01-31,246.7
2012-02-01,228.0
2012-02-02,240.7
2012-02-03,254.9
2012-02-04,262.8
2012-02-05,263.4
2012-02-06,263.4
2012-02-07,265.0
2012-02-08,263.3
2012-02-09,267.1
2012-02-10,262.5
2012-02-11,263.6
2012-02-12,262.6
2012-02-13,259.2
2012-02-14,253.8
2012-02-15,246.2
2012-02-16,248.9
2012-02-17,252.0
2012-02-18,252.5
2012-02-19,252.1
2012-02-20,255.3
2012-02-21,260.0
2012-02-22,265.5
2012-02-23,261.6
2012-02-24,266.0
2012-02-25,261.8
2012-02-26,260.7
2012-02-27,246.5
2012-02-28,243.8
2012-02-29,246.7
2012-03-01,250.2
2012-03-02,252.1
2012-03-03,255.3
2012-03-04,254.2
2012-03-05,253.7
2012-03-06,251.4
2012-03-07,247.7
2012-03-08,202.3
2012-03-09,170.3
2012-03-10,187.8
2012-03-11,200.0
2012-03-12,187.6
2012-03-13,192.7
2012-03-14,205.2
2012-03-15,209.0
2012-03-16,206.4
2012-03-17,217.4
2012-03-18,225.7
2012-03-19,227.6
2012-03-20,228.5
2012-03-21,232.5
2012-03-22,236.9
2012-03-23,242.6
2012-03-24,243.3
2012-03-25,246.5
2012-03-26,248.3
2012-03-27,247.9
2012-03-28,243.7
2012-03-29,244.8
2012-03-30,245.4
2012-03-31,244.9
2012-04-01,245.4
2012-04-02,242.6
2012-04-03,245.4
2012-04-04,249.0
2012-04-05,248.2
2012-04-06,228.8
2012-04-07,235.3
2012-04-08,242.7
2012-04-09,240.9
2012-04-10,248.8
2012-04-11,245.8
2012-04-12,248.6
2012-04-13,253.6
2012-04-14,258.8
2012-04-15,265.7
2012-04-16,264.8
2012-04-17,265.6
2012-04-18,265.6
2012-04-19,267.5
2012-04-20,267.0
2012-04-21,263.9
2012-04-22,259.1
2012-04-23,261.7
2012-04-24,256.2
2012-04-25,247.8
2012-04-26,247.1
2012-04-27,246.8
2012-04-28,251.7
2012-04-29,253.5
2012-04-30,258.1
2012-05-01,260.1
2012-05-02,264.0
2012-05-03,265.9
2012-05-04,257.7
2012-05-05,257.2
2012-05-06,263.3
2012-05-07,261.0
2012-05-08,261.7
2012-05-09,256.8
2012-05-10,260.7
2012-05-11,260.6
2012-05-12,258.2
2012-05-13,252.9
2012-05-14,256.4
2012-05-15,255.4
2012-05-16,255.1
2012-05-17,259.4
2012-05-18,256.4
2012-05-19,257.0
2012-05-20,258.7
2012-05-21,255.8
2012-05-22,254.9
2012-05-23,254.9
2012-05-24,255.2
2012-05-25,250.7
2012-05-26,254.6
2012-05-27,255.5
2012-05-28,257.5
2012-05-29,259.5
2012-05-30,256.5
2012-05-31,240.1
2012-06-01,238.3
2012-06-02,239.4
2012-06-03,237.9
2012-06-04,242.1
2012-06-05,241.6
2012-06-06,238.1
2012-06-07,240.1
2012-06-08,240.2
2012-06-09,238.5
2012-06-10,243.7
2012-06-11,245.6
2012-06-12,248.9
2012-06-13,253.3
2012-06-14,255.5
2012-06-15,255.7
2012-06-16,251.7
2012-06-17,229.6
2012-06-18,229.3
2012-06-19,242.0
2012-06-20,244.9
2012-06-21,246.2
2012-06-22,247.3
2012-06-23,250.1
2012-06-24,253.2
2012-06-25,253.4
2012-06-26,254.7
2012-06-27,251.1
2012-06-28,252.1
2012-06-29,254.0
2012-06-30,250.6
2012-07-01,249.2
2012-07-02,253.4
2012-07-03,248.5
2012-07-04,245.8
2012-07-05,235.6
2012-07-06,236.2
2012-07-07,237.8
2012-07-08,231.9
2012-07-09,233.0
2012-07-10,240.0
2012-07-11,237.3
2012-07-12,241.5
2012-07-13,241.5
2012-07-14,241.3
2012-07-15,202.0
2012-07-16,206.0
2012-07-17,225.0
2012-07-18,228.0
2012-07-19,218.1
2012-07-20,210.4
2012-07-21,208.7
2012-07-22,210.1
2012-07-23,210.5
2012-07-24,215.9
2012-07-25,218.9
2012-07-26,221.7
2012-07-27,218.7
2012-07-28,215.2
2012-07-29,219.0
2012-07-30,217.4
2012-07-31,223.6
2012-08-01,222.0
2012-08-02,217.7
2012-08-03,219.0
2012-08-04,217.9
2012-08-05,215.3
2012-08-06,214.5
2012-08-07,214.7
2012-08-08,216.8
2012-08-09,216.2
2012-08-10,216.3
2012-08-11,214.7
2012-08-12,215.6
2012-08-13,217.7
2012-08-14,215.8
2012-08-15,216.3
2012-08-16,216.4
2012-08-17,218.4
2012-08-18,220.7
2012-08-19,215.8
2012-08-20,214.1
2012-08-21,215.7
2012-08-22,217.8
2012-08-23,226.2
2012-08-24,225.8
2012-08-25,225.0
2012-08-26,222.0
2012-08-27,221.5
2012-08-28,224.3
2012-08-29,225.5
2012-08-30,228.8
2012-08-31,230.7
2012-09-01,226.8
2012-09-02,231.5
2012-09-03,225.7
2012-09-04,215.7
2012-09-05,204.4
2012-09-06,209.5
2012-09-07,219.3
2012-09-08,225.5
2012-09-09,225.3
2012-09-10,227.8
2012-09-11,230.9
2012-09-12,231.7
2012-09-13,230.2
2012-09-14,229.8
2012-09-15,230.9
2012-09-16,232.6
2012-09-17,236.3
2012-09-18,235.6
2012-09-19,231.9
2012-09-20,231.3
2012-09-21,234.1
2012-09-22,234.7
2012-09-23,238.4
2012-09-24,238.2
2012-09-25,239.2
2012-09-26,236.6
2012-09-27,233.4
2012-09-28,234.3
2012-09-29,239.0
2012-09-30,237.0
2012-10-01,227.5
2012-10-02,223.5
2012-10-03,230.8
2012-10-04,234.6
2012-10-05,237.5
2012-10-06,240.2
2012-10-07,234.7
2012-10-08,223.3
2012-10-09,221.3
2012-10-10,218.6
2012-10-11,220.0
2012-10-12,219.2
2012-10-13,212.4
2012-10-14,216.3
2012-10-15,219.9
2012-10-16,223.0
2012-10-17,226.6
2012-10-18,224.4
2012-10-19,224.9
2012-10-20,226.1
2012-10-21,228.5
2012-10-22,230.8
2012-10-23,232.2
2012-10-24,230.9
2012-10-25,231.6
2012-10-26,231.2
2012-10-27,232.6
2012-10-28,231.4
2012-10-29,232.8
2012-10-30,235.0
2012-10-31,232.4
2012-11-02,231.0
2012-11-03,235.3
2012-11-04,235.6
2012-11-05,236.2
2012-11-06,235.3
2012-11-07,232.8
2012-11-08,231.9
2012-11-09,238.6
2012-11-10,239.8
2012-11-11,240.0
2012-11-12,242.5
2012-11-13,225.3
2012-11-14,228.7
2012-11-15,225.8
2012-11-16,230.0
2012-11-17,234.1
2012-11-18,235.8
2012-11-19,234.7
2012-11-20,230.6
2012-11-21,230.4
2012-11-22,228.9
2012-11-23,230.8
2012-11-24,220.5
2012-11-25,215.5
2012-11-26,219.3
2012-11-27,217.8
2012-11-28,223.6
2012-11-29,219.5
2012-11-30,223.3
2012-12-01,226.8
2012-12-02,225.2
2012-12-03,223.3
2012-12-04,223.6
2012-12-05,225.8
2012-12-06,229.7
2012-12-07,234.1
2012-12-08,236.0
2012-12-09,236.3
2012-12-10,239.2
2012-12-11,236.8
2012-12-12,235.9
2012-12-13,237.0
2012-12-14,236.9
2012-12-15,234.8
2012-12-16,232.0
2012-12-17,234.0
2012-12-18,239.0
2012-12-19,237.9
2012-12-20,233.5
2012-12-21,230.4
2012-12-22,232.6
2012-12-23,235.6
2012-12-24,238.1
2012-12-25,240.9
2012-12-26,241.4
2012-12-27,244.0
2012-12-28,240.4
2012-12-29,242.8
2012-12-30,238.5
2012-12-31,239.7
2013-01-01,242.4
2013-01-02,241.1
2013-01-03,240.7
2013-01-04,241.8
